project,sentence,component,component_id,gold,approach_runs,approach_forms,noknow_runs,artemis_runs,swattr,surface,matched,text
mediastore,1,Facade,_st2Y0HDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,Facade,"One of the main components of Media Store is a server-side web front end, namely the Facade component, which delivers websites to the users and provides session management."
mediastore,3,Facade,_st2Y0HDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,Facade,"To this end, the Facade component delivers the corresponding registration and log-in pages to users."
mediastore,6,Facade,_st2Y0HDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,Facade,"In addition, users can browse, download, and upload audio files using the Facade component."
mediastore,7,MediaManagement,_p_EeYHDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,MediaManagement,"Application business logic is provided by a central business logic component, called the MediaManagement component."
mediastore,8,MediaManagement,_p_EeYHDrEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,MediaManagement,The MediaManagement component coordinates the communication of other components.
mediastore,9,MediaManagement,_p_EeYHDrEeSqnN80MQ2uGw,1,3,coreference,3,3,0,none,,"Furthermore, it fetches audio files from a specific location (e.g., a dedicated file server or a local disk) when processing download requests."
mediastore,11,UserManagement,_ahv3gL0YEeSAHuL4ItXOLQ,1,3,full_name,3,3,1,canonical,UserManagement,The UserManagement component answers the requests for registration and authentication.
mediastore,12,DB,_5LN7MLg2EeSNPorBlo7x9g,0,2,full_name,0,0,0,alias,Database,The UserDBAdapter component queries the database.
mediastore,12,UserDBAdapter,_tBjC0HDpEeSqnN80MQ2uGw,1,3,full_name,3,3,1,canonical,UserDBAdapter,The UserDBAdapter component queries the database.
mediastore,13,UserManagement,_ahv3gL0YEeSAHuL4ItXOLQ,1,3,full_name,3,3,1,canonical,UserManagement,"When a user logs into the system, Media Store does not store the password in plain text, but rather the UserManagement component implements further functions to hash and salt the passwords."
mediastore,16,AudioWatermarking,_S-lawHDqEeSqnN80MQ2uGw,0,0,,0,2,0,none,,The re-encoded files are then digitally and individually watermarked by the TagWatermarking component.
