sentence,component,tier,terra,claude,compview,structural,consistency,verbatim,text
15,gitlab-workhorse,gold,1,1,0,0,1.00,1,A typical installation uses NGINX or Apache as a web server to proxy through GitLab Workhorse and into the Puma application server.
15,nginx,gold,1,1,0,0,1.00,1,A typical installation uses NGINX or Apache as a web server to proxy through GitLab Workhorse and into the Puma application server.
15,puma,gold,1,1,1,0,1.00,1,A typical installation uses NGINX or Apache as a web server to proxy through GitLab Workhorse and into the Puma application server.
16,puma,gold,1,1,1,0,1.00,1,GitLab serves web pages and the GitLab API using the Puma application server.
17,redis,gold,1,1,1,0,1.00,1,"It uses Sidekiq as a job queue which, in turn, uses Redis as a non-persistent database backend for job information, metadata, and incoming jobs."
17,sidekiq,gold,1,1,1,0,1.00,1,"It uses Sidekiq as a job queue which, in turn, uses Redis as a non-persistent database backend for job information, metadata, and incoming jobs."
18,gitlab-workhorse,gold,1,1,1,0,1.00,0,"By default, communication between Puma and Workhorse is via a Unix domain socket, but forwarding requests via TCP is also supported."
18,puma,gold,1,1,1,0,1.00,1,"By default, communication between Puma and Workhorse is via a Unix domain socket, but forwarding requests via TCP is also supported."
19,gitlab-workhorse,gold,1,1,1,0,1.00,0,"Workhorse accesses the gitlab/public directory, bypassing the Puma application server to serve static pages, uploads (for example, avatar images or attachments), and pre-compiled assets."
19,puma,refers,0,0,0,0,0.00,1,"Workhorse accesses the gitlab/public directory, bypassing the Puma application server to serve static pages, uploads (for example, avatar images or attachments), and pre-compiled assets."
20,postgresql,gold,1,1,1,0,1.00,1,"The GitLab application uses PostgreSQL for persistent database information (for example, users, permissions, issues, or other metadata)."
20,puma,gold_plus_only,1,0,1,0,1.00,0,"The GitLab application uses PostgreSQL for persistent database information (for example, users, permissions, issues, or other metadata)."
20,sidekiq,silver,1,0,0,0,1.00,0,"The GitLab application uses PostgreSQL for persistent database information (for example, users, permissions, issues, or other metadata)."
21,gitaly,gold,1,1,0,0,1.00,0,"GitLab stores the bare Git repositories in the location defined in the configuration file, repositories: section."
22,gitaly,gold,1,1,0,0,1.00,0,It also keeps default branch and hook information with the bare repository.
23,gitaly,gold,1,1,0,0,1.00,0,When serving repositories over HTTP/HTTPS GitLab uses the GitLab API to resolve authorization and access and to serve Git objects.
23,puma,gold,1,1,1,0,1.00,0,When serving repositories over HTTP/HTTPS GitLab uses the GitLab API to resolve authorization and access and to serve Git objects.
24,gitlab-shell,gold,1,1,1,0,1.00,1,The add-on component GitLab Shell serves repositories over SSH.
25,gitlab-shell,gold,1,1,1,0,1.00,1,"It manages the SSH keys within the location defined in the configuration file, GitLab Shell section."
26,gitlab-shell,gold,1,1,1,0,1.00,0,The file in that location should never be manually edited.
27,gitaly,gold,1,1,1,0,1.00,1,"GitLab Shell accesses the bare repositories through Gitaly to serve Git objects, and communicates with Redis to submit jobs to Sidekiq for GitLab to process."
27,gitlab-shell,gold,1,1,1,0,1.00,1,"GitLab Shell accesses the bare repositories through Gitaly to serve Git objects, and communicates with Redis to submit jobs to Sidekiq for GitLab to process."
27,redis,gold_plus_only,1,0,1,0,1.00,1,"GitLab Shell accesses the bare repositories through Gitaly to serve Git objects, and communicates with Redis to submit jobs to Sidekiq for GitLab to process."
27,sidekiq,gold,1,1,1,0,1.00,1,"GitLab Shell accesses the bare repositories through Gitaly to serve Git objects, and communicates with Redis to submit jobs to Sidekiq for GitLab to process."
28,gitlab-shell,gold,1,1,1,0,1.00,1,GitLab Shell queries the GitLab API to determine authorization and access.
28,puma,silver,1,0,0,0,1.00,0,GitLab Shell queries the GitLab API to determine authorization and access.
29,gitaly,gold,1,1,1,0,1.00,1,"Gitaly executes Git operations from GitLab Shell and the GitLab web app, and provides an API to the GitLab web app to get attributes from Git (for example, title, branches, tags, or other metadata), and to get blobs (for example, diffs, commits, or files)."
29,gitlab-shell,silver,1,0,0,0,0.67,1,"Gitaly executes Git operations from GitLab Shell and the GitLab web app, and provides an API to the GitLab web app to get attributes from Git (for example, title, branches, tags, or other metadata), and to get blobs (for example, diffs, commits, or files)."
29,puma,gold_plus_only,1,0,1,0,0.67,0,"Gitaly executes Git operations from GitLab Shell and the GitLab web app, and provides an API to the GitLab web app to get attributes from Git (for example, title, branches, tags, or other metadata), and to get blobs (for example, diffs, commits, or files)."
59,alertmanager,gold,1,1,1,1,1.00,0,"Alert manager is a tool provided by Prometheus that _""handles alerts sent by client applications such as the Prometheus server."
59,prometheus,refers,0,0,1,0,0.00,1,"Alert manager is a tool provided by Prometheus that _""handles alerts sent by client applications such as the Prometheus server."
60,alertmanager,gold,1,1,1,1,1.00,0,"It takes care of deduplicating, grouping, and routing them to the correct receiver integration such as email, PagerDuty, or Opsgenie."
61,alertmanager,gold,1,1,1,1,1.00,0,"It also takes care of silencing and inhibition of alerts.""_ You can read more in issue #45740 about what we alert on."
62,ai-gateway,gold,1,1,1,1,1.00,1,"GitLab AI Gateway is a standalone-service that will give access to AI features to all users of GitLab, no matter which instance they are using: self-managed, dedicated, or GitLab.com."
63,ai-gateway,gold_plus_only,0,1,0,1,0.00,0,You can read more:
64,ai-gateway,gold_plus_only,0,1,0,1,0.00,0,In the project's README.
65,ai-gateway,gold_plus_only,0,1,0,1,0.00,0,In the installation instructions.
