sentence,component_id,component_name,confidence,source
15,gitlab-workhorse,GitLab Workhorse,1.00,one_call
15,nginx,NGINX,1.00,one_call
15,puma,Puma,1.00,one_call
16,puma,Puma,1.00,one_call
17,redis,Redis,1.00,one_call
17,sidekiq,Sidekiq,1.00,one_call
18,gitlab-workhorse,GitLab Workhorse,1.00,one_call
18,puma,Puma,1.00,one_call
19,gitlab-workhorse,GitLab Workhorse,1.00,one_call
19,puma,Puma,1.00,one_call
20,postgresql,PostgreSQL,1.00,one_call
24,gitlab-shell,GitLab Shell,1.00,one_call
25,gitlab-shell,GitLab Shell,1.00,one_call
27,gitaly,Gitaly,1.00,one_call
27,gitlab-shell,GitLab Shell,1.00,one_call
27,redis,Redis,1.00,one_call
27,sidekiq,Sidekiq,1.00,one_call
28,gitlab-shell,GitLab Shell,1.00,one_call
29,gitaly,Gitaly,1.00,one_call
59,alertmanager,Alertmanager,1.00,one_call
59,prometheus,Prometheus,1.00,one_call
60,alertmanager,Alertmanager,1.00,one_call
61,alertmanager,Alertmanager,1.00,one_call
62,ai-gateway,AI Gateway,1.00,one_call
66,gitlab-duo-workflow-service,GitLab Duo Workflow Service,1.00,one_call
69,consul,Consul,1.00,one_call
70,consul,Consul,1.00,one_call
71,elasticsearch,Elasticsearch,1.00,one_call
72,gitaly,Gitaly,1.00,one_call
73,gitaly,Gitaly,1.00,one_call
75,gitaly,Gitaly,1.00,one_call
75,praefect,Praefect,1.00,one_call
76,gitlab-geo,GitLab Geo,1.00,one_call
77,gitlab-geo,GitLab Geo,1.00,one_call
78,gitlab-exporter,GitLab Exporter,1.00,one_call
78,prometheus,Prometheus,1.00,one_call
80,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,one_call
81,gitlab-agent-for-kubernetes,GitLab agent for Kubernetes,1.00,one_call
82,gitlab-pages,GitLab Pages,1.00,one_call
85,gitlab-runner,GitLab Runner,1.00,one_call
87,gitlab-runner,GitLab Runner,1.00,one_call
88,gitlab-shell,GitLab Shell,1.00,one_call
89,gitlab-shell,GitLab Shell,1.00,one_call
90,gitlab-workhorse,GitLab Workhorse,1.00,one_call
92,gitlab-workhorse,GitLab Workhorse,1.00,one_call
93,elasticsearch,Elasticsearch,1.00,one_call
93,grafana,Grafana,1.00,one_call
93,prometheus,Prometheus,1.00,one_call
94,jaeger,Jaeger,1.00,one_call
95,jaeger,Jaeger,1.00,one_call
97,logrotate,Logrotate,1.00,one_call
99,object-storage,Object storage,1.00,one_call
100,object-storage,Object storage,1.00,one_call
102,object-storage,Object storage,1.00,one_call
103,nginx,NGINX,1.00,one_call
105,node-exporter,Node Exporter,1.00,one_call
105,prometheus,Prometheus,1.00,one_call
107,pgbouncer,PgBouncer,1.00,one_call
108,pgbouncer-exporter,PgBouncer Exporter,1.00,one_call
110,postgresql,PostgreSQL,1.00,one_call
111,grafana,Grafana,1.00,one_call
111,postgresql,PostgreSQL,1.00,one_call
111,postgresql-exporter,PostgreSQL Exporter,1.00,one_call
111,prometheus,Prometheus,1.00,one_call
112,prometheus,Prometheus,1.00,one_call
113,redis,Redis,1.00,one_call
116,redis,Redis,1.00,one_call
117,grafana,Grafana,1.00,one_call
117,prometheus,Prometheus,1.00,one_call
117,redis,Redis,1.00,one_call
117,redis-exporter,Redis Exporter,1.00,one_call
118,registry,Registry,1.00,one_call
119,nginx,NGINX,1.00,one_call
119,registry,Registry,1.00,one_call
120,registry,Registry,1.00,one_call
121,registry,Registry,1.00,one_call
123,registry,Registry,1.00,one_call
124,sentry,Sentry,1.00,one_call
126,sentry,Sentry,1.00,one_call
127,redis,Redis,1.00,one_call
127,sidekiq,Sidekiq,1.00,one_call
128,sidekiq,Sidekiq,1.00,one_call
129,puma,Puma,1.00,one_call
130,puma,Puma,1.00,one_call
137,nginx,NGINX,1.00,one_call
138,gitlab-workhorse,GitLab Workhorse,1.00,one_call
138,puma,Puma,1.00,one_call
139,puma,Puma,1.00,one_call
140,gitaly,Gitaly,1.00,one_call
140,postgresql,PostgreSQL,1.00,one_call
140,redis,Redis,1.00,one_call
145,nginx,NGINX,1.00,one_call
152,gitlab-shell,GitLab Shell,1.00,one_call
159,gitlab-shell,GitLab Shell,1.00,one_call
160,gitlab-shell,GitLab Shell,1.00,one_call
166,gitlab-shell,GitLab Shell,1.00,one_call
169,nginx,NGINX,1.00,one_call
169,postgresql,PostgreSQL,1.00,one_call
169,redis,Redis,1.00,one_call
171,puma,Puma,1.00,one_call
171,sidekiq,Sidekiq,1.00,one_call
172,puma,Puma,1.00,one_call
172,sidekiq,Sidekiq,1.00,one_call
174,gitlab-shell,GitLab Shell,1.00,one_call
176,puma,Puma,1.00,one_call
176,sidekiq,Sidekiq,1.00,one_call
177,redis,Redis,1.00,one_call
179,puma,Puma,1.00,one_call
179,sidekiq,Sidekiq,1.00,one_call
187,redis,Redis,1.00,one_call
191,puma,Puma,1.00,one_call
193,gitlab-shell,GitLab Shell,1.00,one_call
196,consul,Consul,1.00,one_call
196,gitaly,Gitaly,1.00,one_call
196,postgresql,PostgreSQL,1.00,one_call
196,redis,Redis,1.00,one_call
199,postgresql,PostgreSQL,1.00,one_call
