sentence,crate,tier,consistency,crateview,openai_gpt-5.6-terra,claude_cli_sonnet,sym,anchor,cochange
6,rustc_driver_impl,gold,0.3333333333333333,0,A,A,0,0,0
7,rustc_session,gold,1.0,0,A,A,0,0,0
8,rustc_session,gold,1.0,0,A,A,0,0,0
10,rustc_driver_impl,gold,1.0,0,A,A,0,0,0
11,rustc_driver_impl,gold,0.3333333333333333,0,A,A,0,0,0
12,rustc_lexer,gold,1.0,1,A,A,0,1,0
13,rustc_lexer,gold,1.0,1,A,A,0,0,0
14,rustc_lexer,gold,1.0,1,A,A,0,0,0
15,rustc_parse,gold,1.0,1,A,A,0,1,0
18,rustc_lexer,gold,1.0,1,A,A,0,0,0
19,rustc_parse,gold,1.0,1,A,A,1,1,0
20,rustc_lexer,gold,1.0,1,A,A,0,0,0
21,rustc_parse,gold,1.0,1,A,A,1,1,0
22,rustc_parse,gold,1.0,1,A,A,0,0,0
23,rustc_parse,gold,1.0,1,A,A,1,1,0
24,rustc_expand,gold,1.0,0,A,A,1,1,0
25,rustc_parse,gold,1.0,1,A,A,1,1,0
26,rustc_parse,gold,1.0,1,A,A,1,1,0
27,rustc_parse,gold,1.0,1,A,A,0,0,0
28,rustc_parse,gold,1.0,1,A,A,0,1,0
30,rustc_parse,gold,1.0,1,A,A,1,1,0
32,rustc_ast_passes,gold,1.0,0,A,A,0,0,0
32,rustc_expand,gold,1.0,0,A,A,0,0,0
32,rustc_lint,gold,1.0,0,A,A,0,0,0
32,rustc_resolve,gold,1.0,0,A,A,0,0,0
33,rustc_parse,gold,1.0,1,A,A,0,0,0
34,rustc_parse,gold,1.0,1,A,A,0,0,0
35,rustc_ast_lowering,gold,1.0,0,A,A,0,0,0
36,rustc_ast_lowering,gold,1.0,0,A,A,0,0,0
37,rustc_hir_typeck,gold,1.0,0,A,A,0,0,0
37,rustc_trait_selection,gold,1.0,0,A,A,0,0,0
38,rustc_hir_analysis,gold,1.0,1,A,A,0,0,0
40,rustc_mir_build,gold,1.0,1,A,A,0,0,0
41,rustc_mir_transform,gold,1.0,0,A,A,0,0,0
42,rustc_mir_transform,gold,1.0,0,A,A,0,0,0
43,rustc_mir_transform,gold,1.0,0,A,A,0,0,0
44,rustc_monomorphize,gold,1.0,0,A,A,0,0,0
45,rustc_monomorphize,gold,1.0,0,A,A,0,0,0
46,rustc_monomorphize,gold,1.0,0,A,A,0,0,0
48,rustc_codegen_ssa,gold,0.6666666666666666,1,A,A,0,0,0
49,rustc_codegen_llvm,gold,1.0,1,A,A,0,0,0
51,rustc_codegen_llvm,gold,1.0,1,A,A,0,0,0
52,rustc_codegen_ssa,gold,1.0,0,A,A,0,0,0
57,rustc_incremental,gold,1.0,0,A,A,0,0,0
71,rustc_codegen_llvm,gold,1.0,0,A,A,0,0,0
78,rustc_lexer,gold,1.0,1,A,A,0,0,0
79,rustc_parse,gold,1.0,0,A,A,0,0,0
81,rustc_ast,gold,1.0,1,A,A,0,0,0
82,rustc_ast,gold,0.6666666666666666,1,A,A,0,0,0
