sentence,crate,tier,pattern,chapter,text,verdict(A/R/N),reason
998,rustc_lint_defs,gold,llm-only,diagnostics.md,`deny`: Equivalent to `error` diagnostic level.,A,Lint level semantics; Level enum with Deny defined in rustc_lint_defs
279,rustc_data_structures,silver,llm-only,query.md,Link the provider by modifying the appropriate `provide` method; or add a new one if needed and ensure that `rustc_driver` is invoking it. which is used to cheaply modify MIR in place.,A,Tail fragment describes Steal (rustc_data_structures::steal) cheaply modifying MIR in place
1620,rustc_codegen_cranelift,none,bm25-top1,backend/monomorph.md,"This flexibility comes at the cost of performance, since all accesses to an object must dereference a pointer.",N,General background on Java runtime typing
1660,rustc_codegen_ssa,silver,llm-only,backend/codegen.md,The key is that rustc doesn't implement codegen itself.,N,About rustc as a whole delegating codegen to LLVM/Cranelift/GCC
1691,rustc_metadata,gold,llm-only,backend/libs-and-metadata.md,"A crate dependency can be loaded from an `rlib`, `dylib`, or `rmeta` file.",A,rustc_metadata::locator loads dependencies from rlib/dylib/rmeta
391,rustc_resolve,gold_plus_only,symbol,parallel-rustc.md,"As of November 2022, there are still a number of steps to complete before `rustdoc` rendering can be made parallel (see a open discussion of parallel `rustdoc`).",N,"About parallel rustdoc rendering, not name resolution"
1530,rustc_mir_dataflow,gold_plus_only,multi-source,mir/dataflow.md,"For example, the following code uses a `ResultsVisitor`...",A,Documents usage of mir_dataflow's ResultsVisitor API
227,rustc_log,none,bm25-top1,query.md,"If you intend to write a query of your own, this is a good read.",N,About the guide itself
1757,rustc_metadata,gold,llm-only,backend/libs-and-metadata.md,Cargo implements this technique by telling `rustc` to emit an `rmeta` file for each dependency as well as an `rlib`.,N,"Describes Cargo's pipelining behaviour, not rustc_metadata"
1120,rustc_ast,gold,anchor,diagnostics.md,"To solve this, `rustc_ast` defines its own buffered lint type, which `ParseSess::buffer_lint` uses.",A,Claims rustc_ast defines buffered lint type (stale: now rustc_errors) - design claim about rustc_ast
1714,rustc_metadata,gold_plus_only,multi-source,backend/libs-and-metadata.md,You are encouraged to browse the `CrateRoot` definition to get a sense of the different elements it contains.,A,CrateRoot is rustc_metadata's metadata root data structure
273,rustc_query_impl,silver,llm-only,query.md,This looks something like: A query definition has the following form: Let's go over these elements one by one: **Query keyword:** indicates a start of a query definition. **Name of query:** the name of the query method (`tcx.type_of(..)`).,N,"Query definition DSL lives in rustc_middle/rustc_macros, not rustc_query_impl"
1307,rustc_infer,none,bm25-top1,type-inference.md,See the trait chapter for more background on that.,N,Cross-reference to guide chapter
56,rustc_codegen_gcc,none,bm25-top1,overview.md,More/better compile-time analyses often means compilation is slower.,N,General compiler design trade-off
480,rustc_span,gold,multi-source,macro-expansion.md,This ID is `ExpnId`.,A,ExpnId defined in rustc_span::hygiene
1189,rustc_middle,refers,llm-only,ty.md,"Later, we determine that they semantically are the same type and that’s the `ty::Ty` we use.",A,Explains what rustc_middle's ty::Ty represents (semantic type)
554,rustc_expand,gold_plus_only,anchor,macro-expansion.md,"For more information about the macro parser's implementation, see the comments in `compiler/rustc_expand/src/mbe/macro_parser.rs`.",A,Points to macro parser implementation in rustc_expand/src/mbe/macro_parser.rs
1499,rustc_mir_dataflow,gold,multi-source,mir/dataflow.md,A dataflow analysis is defined by the `Analysis` trait.,A,Analysis trait defines dataflow analyses in rustc_mir_dataflow
1492,rustc_mir_dataflow,none,bm25-top1,mir/dataflow.md,"Dataflow analysis is a fundamental concept in modern compilers, and knowledge of the subject will be helpful to prospective contributors.",N,General background on dataflow analysis
700,rustc_middle,gold,anchor,hir.md,"For example, if you have a `LocalDefId`, and you would like to convert it to a `HirId`, you can use `tcx.local_def_id_to_hir_id(def_id)`.",A,TyCtxt::local_def_id_to_hir_id is rustc_middle hir map API
1614,rustc_middle,gold_plus_only,multi-source,const-eval.md,"Constant evaluation returns an `EvalToValTreeResult` for type system constants or `EvalToConstValueResult` with either the error, or a representation of the evaluated constant: a valtree or a MIR constant value, respectively.",A,EvalToValTreeResult/EvalToConstValueResult types defined in rustc_middle
768,rustc_codegen_cranelift,none,bm25-top1,mir/index.md,"In fact, the playground makes this easy, since it supplies a MIR button that will show you the MIR for your program.",N,About the playground UI
353,rustc_metadata,silver,llm-only,serialization.md,"A few types, most notably `DefId`, need to have different implementations for different `Encoder`s.",N,General serialization design; DefId/Encoder not in rustc_metadata; no DefId specialization there
801,rustc_span,refers,symbol,mir/index.md,An unevaluated constant simply stores the `DefId` of what needs to be evaluated to compute this result.,R,Describes UnevaluatedConst (rustc_middle); DefId merely named
114,rustc_mir_transform,gold,llm-only,overview.md,"This drives the generation of optimized `MIR`, which drives the borrow checker, which drives the generation of `MIR`, and so on. ... except that this is very over-simplified.",N,About demand-driven compiler pipeline as a whole
1265,rustc_errors,gold,multi-source,ty.md,"In that case, you can create a ""delayed bug"" with `delayed_bug` or `span_delayed_bug`.",A,delayed_bug/span_delayed_bug are rustc_errors DiagCtxt API; describes their use
455,rustc_ast,refers,llm-only,macro-expansion.md,"`Annotatable` - a piece of AST that can be an attribute target, almost the same thing as `AstFragment` except for types and patterns that can be produced by macros but cannot be annotated with attributes.",R,"Annotatable is a rustc_expand type; sentence is about expansion data, AST only referenced"
1611,rustc_const_eval,gold,llm-only,const-eval.md,Statics are special; all other functions do not represent statics correctly and have thus assertions preventing their use on statics.,A,Describes const-eval functions' assertions on statics (rustc_const_eval eval_queries)
1244,rustc_type_ir,gold,anchor,ty.md,**Slice** Corresponds to `T`.,A,TyKind::Slice variant defined in rustc_type_ir
162,rustc_interface,gold_plus_only,anchor,compiler-src.md,"`rustc_driver` depends on a lot of other crates, but the main one is `rustc_interface`.",R,Describes rustc_driver's dependencies; rustc_interface only named
1369,rustc_trait_selection,gold,llm-only,traits/resolution.md,Trait resolution consists of three major parts: **Selection**: Deciding how to resolve a specific obligation.,A,Describes trait resolution structure implemented in rustc_trait_selection::traits
1128,rustc_trait_selection,gold,llm-only,diagnostics.md,This attribute allows trait definitions to modify error messages when an implementation was expected but not found.,A,rustc_on_unimplemented handled in rustc_trait_selection error_reporting/traits/on_unimplemented.rs
1178,rustc_hir_typeck,gold,llm-only,ty.md,"After HIR is built, some basic type inference and type checking is done.",A,Type inference/checking after HIR is the process rustc_hir_typeck implements
354,rustc_serialize,gold_plus_only,symbol,serialization.md,"This is currently handled by ad-hoc specializations, for example: `DefId` has a `default` implementation of `Encodable<E>` and a specialized one for `Encodable<CacheEncoder>`.",R,Encodable trait from rustc_serialize used; specialization lives in rustc_middle/rustc_span
683,rustc_hir,silver,llm-only,hir.md,"Instead, you only gain access to the **id** for `bar()`, and you must invoke some function to lookup the contents of `bar()` given its id; this gives the compiler a chance to observe that you accessed the data for `bar()`, and then record the dependency.",A,"Describes HIR representation design: items hold ids, bodies looked up separately"
552,rustc_expand,gold,symbol,macro-expansion.md,"The macro parser does pretty much exactly the same as a normal regex parser with one exception: in order to parse different types of metavariables, such as `ident`, `block`, `expr`, etc., the macro parser must call back to the normal Rust parser.",A,Macro parser calling back to Rust parser is rustc_expand::mbe::macro_parser behaviour
1501,rustc_mir_dataflow,gold,llm-only,mir/dataflow.md,The domain of your dataflow analysis must be a lattice (strictly speaking a join-semilattice) with a well-behaved `join` operator.,A,Lattice/JoinSemiLattice requirement defined in rustc_mir_dataflow::framework::lattice
79,rustc_parse,gold,llm-only,overview.md,This stream of tokens is easier for the parser to deal with than raw text.,N,General IR design rationale for the compiler as a whole
12,rustc_lexer,gold,anchor,overview.md,The raw Rust source text is analyzed by a low-level *lexer* located in `rustc_lexer`.,A,States lexer is located in rustc_lexer
61,rustc_middle,none,bm25-top1,overview.md,Program size: how large is the compiled binary?,N,General compiler trade-off background
991,rustc_trait_selection,none,bm25-top1,diagnostics.md,See the Suggestions section for more details.,N,Cross-reference to guide section
