sentence,crate,tier,pattern,chapter,text,verdict(A/R/N)
998,rustc_lint_defs,gold,llm-only,diagnostics.md,`deny`: Equivalent to `error` diagnostic level.,
279,rustc_data_structures,silver,llm-only,query.md,Link the provider by modifying the appropriate `provide` method; or add a new one if needed and ensure that `rustc_driver` is invoking it. which is used to cheaply modify MIR in place.,
1620,rustc_codegen_cranelift,none,bm25-top1,backend/monomorph.md,"This flexibility comes at the cost of performance, since all accesses to an object must dereference a pointer.",
1660,rustc_codegen_ssa,silver,llm-only,backend/codegen.md,The key is that rustc doesn't implement codegen itself.,
1691,rustc_metadata,gold,llm-only,backend/libs-and-metadata.md,"A crate dependency can be loaded from an `rlib`, `dylib`, or `rmeta` file.",
391,rustc_resolve,gold_plus_only,symbol,parallel-rustc.md,"As of November 2022, there are still a number of steps to complete before `rustdoc` rendering can be made parallel (see a open discussion of parallel `rustdoc`).",
1530,rustc_mir_dataflow,gold_plus_only,multi-source,mir/dataflow.md,"For example, the following code uses a `ResultsVisitor`...",
227,rustc_log,none,bm25-top1,query.md,"If you intend to write a query of your own, this is a good read.",
1757,rustc_metadata,gold,llm-only,backend/libs-and-metadata.md,Cargo implements this technique by telling `rustc` to emit an `rmeta` file for each dependency as well as an `rlib`.,
1120,rustc_ast,gold,anchor,diagnostics.md,"To solve this, `rustc_ast` defines its own buffered lint type, which `ParseSess::buffer_lint` uses.",
1714,rustc_metadata,gold_plus_only,multi-source,backend/libs-and-metadata.md,You are encouraged to browse the `CrateRoot` definition to get a sense of the different elements it contains.,
273,rustc_query_impl,silver,llm-only,query.md,This looks something like: A query definition has the following form: Let's go over these elements one by one: **Query keyword:** indicates a start of a query definition. **Name of query:** the name of the query method (`tcx.type_of(..)`).,
1307,rustc_infer,none,bm25-top1,type-inference.md,See the trait chapter for more background on that.,
56,rustc_codegen_gcc,none,bm25-top1,overview.md,More/better compile-time analyses often means compilation is slower.,
480,rustc_span,gold,multi-source,macro-expansion.md,This ID is `ExpnId`.,
1189,rustc_middle,refers,llm-only,ty.md,"Later, we determine that they semantically are the same type and that’s the `ty::Ty` we use.",
554,rustc_expand,gold_plus_only,anchor,macro-expansion.md,"For more information about the macro parser's implementation, see the comments in `compiler/rustc_expand/src/mbe/macro_parser.rs`.",
1499,rustc_mir_dataflow,gold,multi-source,mir/dataflow.md,A dataflow analysis is defined by the `Analysis` trait.,
1492,rustc_mir_dataflow,none,bm25-top1,mir/dataflow.md,"Dataflow analysis is a fundamental concept in modern compilers, and knowledge of the subject will be helpful to prospective contributors.",
700,rustc_middle,gold,anchor,hir.md,"For example, if you have a `LocalDefId`, and you would like to convert it to a `HirId`, you can use `tcx.local_def_id_to_hir_id(def_id)`.",
1614,rustc_middle,gold_plus_only,multi-source,const-eval.md,"Constant evaluation returns an `EvalToValTreeResult` for type system constants or `EvalToConstValueResult` with either the error, or a representation of the evaluated constant: a valtree or a MIR constant value, respectively.",
768,rustc_codegen_cranelift,none,bm25-top1,mir/index.md,"In fact, the playground makes this easy, since it supplies a MIR button that will show you the MIR for your program.",
353,rustc_metadata,silver,llm-only,serialization.md,"A few types, most notably `DefId`, need to have different implementations for different `Encoder`s.",
801,rustc_span,refers,symbol,mir/index.md,An unevaluated constant simply stores the `DefId` of what needs to be evaluated to compute this result.,
114,rustc_mir_transform,gold,llm-only,overview.md,"This drives the generation of optimized `MIR`, which drives the borrow checker, which drives the generation of `MIR`, and so on. ... except that this is very over-simplified.",
1265,rustc_errors,gold,multi-source,ty.md,"In that case, you can create a ""delayed bug"" with `delayed_bug` or `span_delayed_bug`.",
455,rustc_ast,refers,llm-only,macro-expansion.md,"`Annotatable` - a piece of AST that can be an attribute target, almost the same thing as `AstFragment` except for types and patterns that can be produced by macros but cannot be annotated with attributes.",
1611,rustc_const_eval,gold,llm-only,const-eval.md,Statics are special; all other functions do not represent statics correctly and have thus assertions preventing their use on statics.,
1244,rustc_type_ir,gold,anchor,ty.md,**Slice** Corresponds to `T`.,
162,rustc_interface,gold_plus_only,anchor,compiler-src.md,"`rustc_driver` depends on a lot of other crates, but the main one is `rustc_interface`.",
1369,rustc_trait_selection,gold,llm-only,traits/resolution.md,Trait resolution consists of three major parts: **Selection**: Deciding how to resolve a specific obligation.,
1128,rustc_trait_selection,gold,llm-only,diagnostics.md,This attribute allows trait definitions to modify error messages when an implementation was expected but not found.,
1178,rustc_hir_typeck,gold,llm-only,ty.md,"After HIR is built, some basic type inference and type checking is done.",
354,rustc_serialize,gold_plus_only,symbol,serialization.md,"This is currently handled by ad-hoc specializations, for example: `DefId` has a `default` implementation of `Encodable<E>` and a specialized one for `Encodable<CacheEncoder>`.",
683,rustc_hir,silver,llm-only,hir.md,"Instead, you only gain access to the **id** for `bar()`, and you must invoke some function to lookup the contents of `bar()` given its id; this gives the compiler a chance to observe that you accessed the data for `bar()`, and then record the dependency.",
552,rustc_expand,gold,symbol,macro-expansion.md,"The macro parser does pretty much exactly the same as a normal regex parser with one exception: in order to parse different types of metavariables, such as `ident`, `block`, `expr`, etc., the macro parser must call back to the normal Rust parser.",
1501,rustc_mir_dataflow,gold,llm-only,mir/dataflow.md,The domain of your dataflow analysis must be a lattice (strictly speaking a join-semilattice) with a well-behaved `join` operator.,
79,rustc_parse,gold,llm-only,overview.md,This stream of tokens is easier for the parser to deal with than raw text.,
12,rustc_lexer,gold,anchor,overview.md,The raw Rust source text is analyzed by a low-level *lexer* located in `rustc_lexer`.,
61,rustc_middle,none,bm25-top1,overview.md,Program size: how large is the compiled binary?,
991,rustc_trait_selection,none,bm25-top1,diagnostics.md,See the Suggestions section for more details.,
542,rustc_parse,refers,symbol,macro-expansion.md,"The interface of the macro parser is as follows (this is slightly simplified): We use these items in macro parser: a `parser` variable is a reference to the state of a normal Rust parser, including the token stream and parsing session.",
211,rustc_passes,none,bm25-top1,compiler-src.md,"`src/doc`: Various documentation, including submodules for a few books.",
392,rustc_thread_pool,none,bm25-top1,parallel-rustc.md,"Here are some resources that can be used to learn more: This IRLO thread by alexchricton about performance This IRLO thread by Zoxc, one of the pioneers of the effort This list of interior mutability in the compiler by nikomatsakis",
1053,rustc_lint,gold,llm-only,diagnostics.md,Different lints will run at different times based on what information the lint needs to do its job.,
69,rustc_public,none,bm25-top1,overview.md,Compiler stability: the compiler should not crash or fail ungracefully on the stable channel.,
1618,rustc_borrowck,none,bm25-top1,backend/monomorph.md,"For example, in some languages, such as Java, we may not know the most precise type of value until runtime.",
33,rustc_parse,gold,llm-only,overview.md,"The `rustc_ast::ast`::{`Crate`, `Expr`, `Pat`, ...} `AST` nodes are returned from the parser while the standard `Diag` API is used for error handling.",
812,rustc_middle,gold,symbol,mir/index.md,"The `ty::ValTree` datastructure allows us to represent arrays, many structs, tuples, enums and, most primitives.",
384,rustc_middle,refers,llm-only,parallel-rustc.md,"When a query `foo` is evaluated, the cache table for `foo` is locked.",
853,rustc_middle,refers,symbol,mir/construction.md,"Regardless of the lowering kind, the arguments to the operator are lowered to `Operand`s.",
687,rustc_hir_id,gold,symbol,hir.md,"Unlike `HirId`s, there isn't a `DefId` for every expression, which makes them more stable across compilations.",
423,rustc_expand,gold,anchor,macro-expansion.md,"Many of the algorithms and data structures described below are in `rustc_expand`, with fundamental data structures in `rustc_expand::base`.",
1564,rustc_mir_transform,gold,llm-only,mir/optimizations.md,We run a series of optimization passes over the MIR to improve it.,
1639,rustc_codegen_ssa,silver,llm-only,backend/lowering-mir.md,"Now that we have a list of symbols to generate from the collector, we need to generate some sort of codegen IR.",
326,rustc_middle,silver,llm-only,serialization.md,Deserializing these types isn't possible without access to the arena that they need to be allocated on.,
838,rustc_mir_build,gold,llm-only,mir/construction.md,"For example, lowering an expression like `if foo { 22 } else { 44 }` requires generating a small ""diamond-shaped graph"".",
136,rustc_thread_pool,none,bm25-top1,overview.md,"However, the rest of the compiler is still not yet parallel.",
353,rustc_serialize,gold_plus_only,symbol,serialization.md,"A few types, most notably `DefId`, need to have different implementations for different `Encoder`s.",
701,rustc_type_ir,refers,symbol,hir.md,"You need a `LocalDefId`, rather than a `DefId`, since only local items have HIR nodes.",
659,rustc_attr_parsing,none,bm25-top1,attributes.md,"AST-based attributes, defined in the standard library.",
1288,rustc_infer,refers,symbol,type-inference.md,See `InferCtxtBuilder` for more information.,
234,rustc_middle,gold,symbol,query.md,"The macro system generates both structs, which act as function tables for all query implementations, where each field is a function pointer to the actual provider. **Note:** Both the `Providers` and `ExternProviders` structs are generated by macros and act as function tables for all query implementations.",
131,rustc_middle,gold,anchor,overview.md,"This is so important that we have a whole chapter on `ty::Ty`, but for now, we just want to mention that it exists and is the way `rustc` represents types!",
472,rustc_ast,refers,llm-only,macro-expansion.md,"Additionally, there may be other nodes that have context attached, such as some desugared syntax (non-macro-expanded nodes are considered to just have the ""root"" context, as described below).",
1573,rustc_codegen_gcc,none,bm25-top1,mir/optimizations.md,Read this README for instructions on how to dump things.,
908,rustc_driver_impl,gold,symbol,rustc-driver/intro.md,This builder accepts the same command-line args as rustc as well as an implementation of `Callbacks` and a couple of other optional options.,
1048,rustc_symbol_mangling,none,bm25-top1,diagnostics.md,"The message should not contain any phrases like ""the following"", ""as shown"", etc.",
663,rustc_builtin_macros,gold,anchor,attributes.md,"Instead, the macro is annotated with the `#rustc_builtin_macro` attribute, which tells the compiler to run a corresponding function in `rustc_builtin_macros`.",
376,rustc_data_structures,gold,llm-only,parallel-rustc.md,"However, in the non-parallel compiler, it is implemented as `(OneThread<T>)`, whose `T` can be accessed directly through `Deref::deref`.",
1733,rustc_metadata,silver,llm-only,backend/libs-and-metadata.md,All of the upstream crate hashes.,
513,rustc_span,refers,llm-only,macro-expansion.md,"Above, we saw how the output of a macro is integrated into the AST for a crate, and we also saw how the hygiene data for a crate is generated.",
371,rustc_thread_pool,gold_plus_only,symbol,parallel-rustc.md,`WorkerLocal` is a special data structure implemented for parallel compilers.,
72,rustc_codegen_gcc,none,bm25-top1,overview.md,"So, as you continue your journey through the rest of the guide, keep these things in mind.",
856,rustc_mir_build,silver,llm-only,mir/construction.md,In MIR there is no difference between method calls and function calls anymore.,
912,rustc_driver_impl,refers,symbol,rustc-driver/intro.md,The main entry point of `rustc_interface` (`rustc_interface::run_compiler`) takes a configuration variable for the compiler and a `closure` taking a yet unresolved `Compiler`.,
879,rustc_mir_transform,gold,symbol,mir/passes.md,"As you can see from its source, a MIR pass is defined by first defining a dummy type, a struct with no fields: for which we implement the `MirPass` trait.",
35,rustc_hir,gold_plus_only,anchor,overview.md,"Next the `AST` is converted into High-Level Intermediate Representation (`HIR`), a more compiler-friendly representation of the `AST`.",
510,rustc_expand,gold_plus_only,symbol,macro-expansion.md,In this hierarchy `ExpnData::call_site` is the `child -> parent` link.,
1334,rustc_infer,gold,llm-only,type-inference.md,Regions are inferenced somewhat differently from types.,
1038,rustc_errors,gold,multi-source,diagnostics.md,"The message that accompanies them should be understandable in the following contexts: shown as an independent sub-diagnostic (this is the default output) shown as a label pointing at the affected span (this is done automatically if some heuristics for verbosity are met) shown as a `help` sub-diagnostic with no content (used for cases where the suggestion is obvious from the text, but we still want to let tools to apply them) not shown (used for _very_ obvious cases, but we still want to allow tools to apply them) For example, to make our `qux` suggestion machine-applicable, we would do: This might emit an error like In some cases, like when the suggestion spans multiple lines or when there are multiple suggestions, the suggestions are displayed on their own: The possible values of `Applicability` are: `MachineApplicable`: Can be applied mechanically.",
595,rustc_expand,silver,llm-only,name-resolution.md,"The input to the second phase is the syntax tree, produced by parsing input files and expanding `macros`.",
1165,rustc_ast_lowering,gold,llm-only,ty.md,"It is more or less the AST (see this chapter) as it represents the syntax that the user wrote, and is obtained after parsing and some *desugaring*.",
366,rustc_data_structures,gold,multi-source,parallel-rustc.md,The underlying thread-safe data-structures used in the parallel compiler can be found in the `rustc_data_structures::sync` module.,
1263,rustc_thread_pool,none,bm25-top1,ty.md,Sometimes there is a third case.,
1384,rustc_trait_selection,gold,llm-only,traits/resolution.md,"Therefore, lifetime matching is *not* considered during selection.",
960,rustc_ast_lowering,none,bm25-top1,diagnostics.md,"Prefer ""invalid"" or a more specific word instead.",
1351,rustc_borrowck,gold,llm-only,type-inference.md,"This is required as the NLL solver must not only know *what* regions outlive each other, but also *where*.",
1606,rustc_const_eval,silver,llm-only,const-eval.md,Constant evaluation can be done by calling the `const_eval_*` functions of `TyCtxt`.,
402,rustc_ast,gold_plus_only,multi-source,the-parser.md,"This renders `NodeId`s pretty much useless for incremental compilation, where you want as few things as possible to change.",
1443,rustc_next_trait_solver,gold,llm-only,solve/trait-solving.md,"The most important candidates are `Impl` candidates, i.e. trait implementations written by the user, and `ParamEnv` candidates, i.e. assumptions in our current environment.",
476,rustc_expand,silver,llm-only,macro-expansion.md,"For example, if we expand a macro and there is another macro invocation or definition in the generated output, then the syntax context should reflect the nesting.",
110,rustc_query_impl,gold,llm-only,overview.md,The results of the queries are cached on disk so that the compiler can tell which queries' results changed from the last compilation and only redo those.,
