modelElementID,sentence
kube-controller-manager,41
kube-controller-manager,42
kube-controller-manager,43
kube-controller-manager,44
kube-controller-manager,45
kube-controller-manager,46
kube-controller-manager,47
cloud-controller-manager,48
cloud-controller-manager,49
cloud-controller-manager,50
cloud-controller-manager,51
cloud-controller-manager,52
cloud-controller-manager,53
cloud-controller-manager,54
cloud-controller-manager,55
dns,61
dns,62
dns,63
web-ui-dashboard,64
web-ui-dashboard,65
container-resource-monitoring,66
cluster-level-logging,67
