sentence,component,tier,terra,claude,compview,structural,consistency,verbatim,text
5,kube-apiserver,gold,1,1,1,0,1.00,1,kube-apiserver The core component server that exposes the Kubernetes HTTP API.
6,etcd,gold,1,1,1,0,1.00,1,etcd Consistent and highly-available key value store for all API server data.
6,kube-apiserver,refers,0,0,0,0,0.00,0,etcd Consistent and highly-available key value store for all API server data.
7,kube-scheduler,gold,1,1,1,0,1.00,1,"kube-scheduler Looks for Pods not yet bound to a node, and assigns each Pod to a suitable node."
8,kube-controller-manager,gold,1,1,1,0,1.00,1,kube-controller-manager Runs controllers to implement Kubernetes API behavior.
9,cloud-controller-manager,gold,1,1,1,0,1.00,1,cloud-controller-manager (optional) Integrates with underlying cloud provider(s).
11,kubelet,gold,1,1,1,0,1.00,1,"kubelet Ensures that Pods are running, including their containers."
12,kube-proxy,gold,1,1,1,0,1.00,1,kube-proxy (optional) Maintains network rules on nodes to implement Services.
13,container-runtime,gold,1,1,1,0,1.00,1,Container runtime Software responsible for running containers.
14,container-runtime,silver,0,1,0,0,0.00,1,Read Container Runtimes to learn more.
18,dns,gold,1,1,1,0,1.00,1,DNS For cluster-wide DNS resolution.
19,web-ui-dashboard,gold,1,1,1,0,1.00,1,Web UI (Dashboard) For cluster management via a web interface.
20,container-resource-monitoring,gold,1,1,1,0,1.00,1,Container Resource Monitoring For collecting and storing container metrics.
21,cluster-level-logging,gold,1,1,1,0,1.00,1,Cluster-level Logging For saving container logs to a central log store.
33,kube-proxy,gold,1,1,1,0,1.00,1,"In the diagram, each node runs the kube-proxy component."
34,kube-proxy,gold,1,1,1,0,1.00,0,You need a network proxy component on each node to ensure that the Service API and associated behaviors are available on your cluster network.
35,kube-proxy,gold_plus_only,0,1,1,0,0.00,0,"However, some network plugins provide their own, third party implementation of proxying."
36,kube-proxy,gold,1,1,1,0,1.00,1,"When you use that kind of network plugin, the node does not need to run kube-proxy."
37,kube-controller-manager,silver,1,0,0,0,1.00,0,"The control plane's components make global decisions about the cluster (for example, scheduling), as well as detecting and responding to cluster events (for example, starting up a new pod when a Deployment's replicas field is unsatisfied)."
37,kube-scheduler,silver,1,0,0,0,1.00,0,"The control plane's components make global decisions about the cluster (for example, scheduling), as well as detecting and responding to cluster events (for example, starting up a new pod when a Deployment's replicas field is unsatisfied)."
41,kube-controller-manager,gold,1,1,1,1,1.00,0,There are many different types of controllers.
42,kube-controller-manager,gold,1,1,1,1,1.00,0,Some examples of them are:
43,kube-controller-manager,gold,1,1,1,1,1.00,0,Node controller: Responsible for noticing and responding when nodes go down.
44,kube-controller-manager,gold,1,1,1,1,1.00,0,"Job controller: Watches for Job objects that represent one-off tasks, then creates Pods to run those tasks to completion."
45,kube-controller-manager,gold,1,1,1,1,1.00,0,EndpointSlice controller: Populates EndpointSlice objects (to provide a link between Services and Pods).
46,kube-controller-manager,gold,1,1,1,1,1.00,0,ServiceAccount controller: Create default ServiceAccounts for new namespaces.
47,kube-controller-manager,gold,1,1,1,1,1.00,0,The above is not an exhaustive list.
48,cloud-controller-manager,gold,1,1,1,1,1.00,1,The cloud-controller-manager only runs controllers that are specific to your cloud provider.
49,cloud-controller-manager,gold,1,1,1,1,1.00,0,"If you are running Kubernetes on your own premises, or in a learning environment inside your own PC, the cluster does not have a cloud controller manager."
50,cloud-controller-manager,gold,1,1,1,1,1.00,1,"As with the kube-controller-manager, the cloud-controller-manager combines several logically independent control loops into a single binary that you run as a single process."
50,kube-controller-manager,refers,0,0,1,0,0.00,1,"As with the kube-controller-manager, the cloud-controller-manager combines several logically independent control loops into a single binary that you run as a single process."
51,cloud-controller-manager,gold,1,1,1,1,1.00,0,You can scale horizontally (run more than one copy) to improve performance or to help tolerate failures.
52,cloud-controller-manager,gold,1,1,1,1,1.00,0,The following controllers can have cloud provider dependencies:
53,cloud-controller-manager,gold,1,1,1,1,1.00,0,Node controller: For checking the cloud provider to determine if a node has been deleted in the cloud after it stops responding
54,cloud-controller-manager,gold,1,1,1,1,1.00,0,Route controller: For setting up routes in the underlying cloud infrastructure
55,cloud-controller-manager,gold,1,1,1,1,1.00,0,"Service controller: For creating, updating and deleting cloud provider load balancers"
56,container-runtime,silver,1,0,0,0,1.00,0,"Node components run on every node, maintaining running pods and providing the Kubernetes runtime environment."
56,kube-proxy,silver,1,0,0,0,0.67,0,"Node components run on every node, maintaining running pods and providing the Kubernetes runtime environment."
56,kubelet,silver,1,0,0,0,1.00,0,"Node components run on every node, maintaining running pods and providing the Kubernetes runtime environment."
57,kube-proxy,gold,1,1,1,0,1.00,1,"If you use a network plugin that implements packet forwarding for Services by itself, and providing equivalent behavior to kube-proxy, then you do not need to run kube-proxy on the nodes in your cluster."
61,dns,gold,1,1,1,1,1.00,1,"While the other addons are not strictly required, all Kubernetes clusters should have cluster DNS, as many examples rely on it."
62,dns,gold,1,1,1,1,1.00,1,"Cluster DNS is a DNS server, in addition to the other DNS server(s) in your environment, which serves DNS records for Kubernetes services."
63,dns,gold,1,1,1,1,1.00,1,Containers started by Kubernetes automatically include this DNS server in their DNS searches.
64,web-ui-dashboard,gold,1,1,1,1,1.00,0,"Dashboard is a general purpose, web-based UI for Kubernetes clusters."
65,web-ui-dashboard,gold,1,1,1,1,1.00,0,"It allows users to manage and troubleshoot applications running in the cluster, as well as the cluster itself."
66,container-resource-monitoring,gold,1,1,1,1,1.00,1,"Container Resource Monitoring records generic time-series metrics about containers in a central database, and provides a UI for browsing that data."
67,cluster-level-logging,gold,1,1,1,1,1.00,1,A cluster-level logging mechanism is responsible for saving container logs to a central log store with a search/browsing interface.
74,kubelet,gold,1,1,1,0,1.00,1,"Static Pods Control plane components are deployed as static Pods, managed by the kubelet on specific nodes."
84,kube-scheduler,gold,1,1,0,0,1.00,0,Custom schedulers can be deployed to work alongside the default Kubernetes scheduler or to replace it entirely.
85,kube-apiserver,gold,1,1,1,0,1.00,0,API servers can be extended with CustomResourceDefinitions and API Aggregation.
86,cloud-controller-manager,gold,1,1,1,0,1.00,1,Cloud providers can integrate deeply with Kubernetes using the cloud-controller-manager.
91,kube-scheduler,gold,1,1,1,0,1.00,1,kube-scheduler which is the default scheduler for Kubernetes.
92,etcd,refers,0,0,0,0,0.00,1,Etcd's official documentation.
93,container-runtime,gold,1,1,0,0,0.67,1,Several container runtimes in Kubernetes.
94,cloud-controller-manager,gold,1,1,0,0,1.00,1,Integrating with cloud providers using cloud-controller-manager.
99,container-runtime,silver,0,1,0,0,0.33,1,"The components on a node include the kubelet, a container runtime, and the kube-proxy."
99,kube-proxy,silver,0,1,0,0,0.33,1,"The components on a node include the kubelet, a container runtime, and the kube-proxy."
