backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
terra,run1,FullName,129,110,2,+0.563339
terra,run1,PartialName,23,18,9,+0.021194
terra,run1,Coref,39,15,1,+0.053948
terra,run1,overlap:only_full_name,110,,,
terra,run1,overlap:only_partial_name,18,,,
terra,run1,overlap:only_coref,15,,,
terra,run1,overlap:shared,24,,,
terra,run2,FullName,131,107,2,+0.475467
terra,run2,PartialName,24,18,6,+0.025428
terra,run2,Coref,44,14,1,+0.048619
terra,run2,overlap:only_full_name,107,,,
terra,run2,overlap:only_partial_name,18,,,
terra,run2,overlap:only_coref,14,,,
terra,run2,overlap:shared,30,,,
terra,run3,FullName,129,111,2,+0.481581
terra,run3,PartialName,23,17,9,+0.019554
terra,run3,Coref,39,15,4,+0.049445
terra,run3,overlap:only_full_name,111,,,
terra,run3,overlap:only_partial_name,17,,,
terra,run3,overlap:only_coref,15,,,
terra,run3,overlap:shared,24,,,
terra,average,FullName,129.67,109.33,2,+0.506796
terra,average,PartialName,23.33,17.67,8,+0.022059
terra,average,Coref,40.67,14.67,2,+0.050671
terra,average,overlap:only_full_name,109.33,,,
terra,average,overlap:only_partial_name,17.67,,,
terra,average,overlap:only_coref,14.67,,,
terra,average,overlap:shared,26,,,
