"evidence_id","reviewer","cluster_id","fit_level","points","title","venue_year","authors","source_url","source_type","citation_recommendation","fit_note"
"E001","Henry Muccini","C1","Direct","3","Using Software Architecture for Code Testing","IEEE Transactions on Software Engineering (2004)","Henry Muccini; Antonella Bertolino; Paola Inverardi","https://doi.org/10.1109/TSE.2004.1271170","DOI","HIGH","Architecture/code consistency and a downstream use of architecture artifacts."
"E002","Henry Muccini","C1","Direct","3","A scoped approach to traceability management","Journal of Systems and Software (2009)","Patricia Lago; Henry Muccini; Hans van Vliet","https://doi.org/10.1016/j.jss.2008.08.026","DOI","HIGH","Core traceability paths spanning requirements, architecture, and implementation."
"E003","Henry Muccini","C1","Direct","3","From Requirements to code: an Architecture-centric Approach for producing Quality Systems","Book chapter (2009)","Antonio Bucchiarone; Davide Di Ruscio; Henry Muccini; Patrizio Pelliccione","https://arxiv.org/abs/0910.0493","arXiv","HIGH","Architecture-centric lifecycle bridge from requirements to code."
"E004","Henry Muccini","C1","Adjacent","1","On the Social Dimensions of Architectural Decisions","ECSA (2015)","Henry Muccini; Damian Andrew Tamburri; V. Smrithi Rekha","https://www.henrymuccini.com/research/","Author publication page","CONTEXT","Architecture decision-making context, not a link-recovery method."
"E005","Henry Muccini","C1","Adjacent","1","Suitability of Software Architecture Decision Making Methods for Group Decisions","ECSA (2014)","V. Smrithi Rekha; Henry Muccini","https://www.henrymuccini.com/research/","Author publication page","CONTEXT","Architecture decision-making context, not a link-recovery method."
"E006","Rafael Capilla","C1","Direct","3","An Enhanced Architectural Knowledge Metamodel Linking Architectural Design Decisions to other Artifacts in the Software Engineering Lifecycle","ECSA (2011)","Rafael Capilla; Olaf Zimmermann; Uwe Zdun; Paris Avgeriou; Jörg M. Küster","https://doi.org/10.1007/978-3-642-23798-0_33","DOI","HIGH","Explicitly links architectural decisions to lifecycle artifacts."
"E007","Rafael Capilla","C1","Direct","3","Viability for codifying and documenting architectural design decisions with tool support","Journal of Software Maintenance and Evolution: Research and Practice (2010)","Rafael Capilla; Juan C. Dueñas; Francisco Nava","https://doi.org/10.1002/smr.419","DOI","HIGH","Maintains trace links between decisions and software artifacts."
"E008","Rafael Capilla","C1","Direct","3","Modeling and Documenting the Evolution of Architectural Design Decisions","SHARK/ADI (2007)","Rafael Capilla; Francisco Nava","https://urjc.academia.edu/RafaelCapilla","Author publication page","HIGH","Architectural decision documentation and evolution."
"E009","Rafael Capilla","C1","Direct","3","10 years of software architecture knowledge management: Practice and future","Journal of Systems and Software (2016)","Rafael Capilla; Anton Jansen; Antony Tang; Paris Avgeriou; Muhammad Ali Babar","https://doi.org/10.1016/j.jss.2015.08.054","DOI","HIGH","Review of architecture-knowledge management, including traceability and lifecycle support."
"E010","Rafael Capilla","C1","Adjacent","1","Toward Architectural Knowledge Sustainability. New Opportunities to Extend the Longevity of Systems","arXiv (2018)","Rafael Capilla; Elisa Yumi Nakagawa; Uwe Zdun; Carlos Carrillo","https://arxiv.org/abs/1802.04015","arXiv","CONTEXT","Architecture-knowledge sustainability and evolution context."
"E011","Michael Vierhauser","C1","Direct","3","Grand Challenges of Traceability: The Next Ten Years","arXiv (2017)","Giuliano Antoniol; Jane Cleland-Huang; James H. Hayes; Michael Vierhauser","https://arxiv.org/abs/1710.03129","arXiv","HIGH","Direct traceability research agenda and open challenges."
"E012","Michael Vierhauser","C1","Direct","3","Traceability Queries and Strategies for the Requirements Engineering Domain","Grand Challenges of Traceability (2017)","S. Malviya; Michael Vierhauser; Jane Cleland-Huang","https://michael.vierhauser.net/publications/","Author publication page","HIGH","Traceability query/strategy design."
"E013","Michael Vierhauser","C1","Direct","3","Establishing Trace-Links for Runtime Diagnosis Support in System of Systems","Grand Challenges of Traceability (2017)","Michael Vierhauser; Regina Rabiser; Paul Grünbacher; Jane Cleland-Huang","https://michael.vierhauser.net/publications/","Author publication page","HIGH","Trace-link establishment for diagnosis support."
"E014","Michael Vierhauser","C1","Direct","3","From Requirements Monitoring to Diagnosis Support in System of Systems","REFSQ (2017)","Michael Vierhauser; Regina Rabiser; Jane Cleland-Huang","https://michael.vierhauser.net/publications/","Author publication page","HIGH","Requirements monitoring and downstream diagnosis traceability."
"E015","Michael Vierhauser","C1","Adjacent","1","TimeTracer: A Tool for Back in Time Traceability Replaying","ICSE-Companion (2020)","Christoph Mayr-Dorn; Michael Vierhauser; Felix Keplinger; Stefan Bichler; Alexander Egyed","https://michael.vierhauser.net/publications/","Author publication page","CONTEXT","Tool support for replaying traceability history."
"E016","Michael Vierhauser","C1","Adjacent","1","A comparison framework for runtime monitoring approaches","Journal of Systems and Software","R. Rabiser; S. Guinea; Michael Vierhauser; Luciano Baresi; Paul Grünbacher","https://michael.vierhauser.net/publications/","Author publication page","CONTEXT","Runtime monitoring adjacent to architecture evidence maintenance."
"E017","Davide Di Ruscio","C1","Direct","3","From Requirements to code: an Architecture-centric Approach for producing Quality Systems","Book chapter (2009)","Antonio Bucchiarone; Davide Di Ruscio; Henry Muccini; Patrizio Pelliccione","https://arxiv.org/abs/0910.0493","arXiv","HIGH","Architecture-centric requirements-to-code lifecycle bridge."
"E018","Davide Di Ruscio","C1","Direct","3","Agile Requirements Traceability","XM (2012)","Davide Di Ruscio; et al.","https://people.disim.univaq.it/diruscio/sites/XM2012/xm2012_submission_2.pdf","Author-hosted paper","HIGH","Requirements traceability management in an agile/modeling setting."
"E019","Chetan Arora","C2","Direct","3","Automated Extraction and Clustering of Requirements Glossary Terms","IEEE Transactions on Software Engineering (2017)","Chetan Arora; Mehrdad Sabetzadeh; Lionel Briand; Frank Zimmer","https://doi.org/10.1109/TSE.2016.2635134","DOI","HIGH","Glossary/entity extraction and vocabulary normalization."
"E020","Chetan Arora","C2","Direct","3","Automated Handling of Anaphoric Ambiguity in Requirements: A Multi-Solution Study","ICSE (2022)","Saad Ezzini; Sallam Abualhaija; Chetan Arora; Mehrdad Sabetzadeh","https://doi.org/10.1145/3510003.3510157","DOI","HIGH","Implicit-reference/anaphora handling in natural-language requirements."
"E021","Chetan Arora","C2","Direct","3","Change Impact Analysis for Natural Language Requirements: An NLP Approach","RE (2015)","Chetan Arora; Mehrdad Sabetzadeh; Arda Göknil; Lionel Briand; Frank Zimmer","https://doi.org/10.1109/RE.2015.7320403","DOI","HIGH","NLP-based impact analysis over linked natural-language artifacts."
"E022","Chetan Arora","C2","Direct","3","Practical Guidelines for the Selection and Evaluation of Natural Language Processing Techniques in Requirements Engineering","Book chapter (2024)","Mehrdad Sabetzadeh; Chetan Arora","https://arxiv.org/abs/2401.01508","arXiv","HIGH","NLP method selection and evaluation guidance for requirements automation."
"E023","Chetan Arora","C2","Direct","3","Requirement Boilerplates: Transition From Manually-Enforced to Automatically-Verifiable Natural Language Patterns","RE (2014)","Chetan Arora; Mehrdad Sabetzadeh; Lionel Briand; et al.","https://orbilu.uni.lu/handle/10993/17038","Institutional record","HIGH","Natural-language patterns and ambiguity reduction."
"E024","Saad Ezzini","C2","Direct","3","Automated Handling of Anaphoric Ambiguity in Requirements: A Multi-Solution Study","ICSE (2022)","Saad Ezzini; Sallam Abualhaija; Chetan Arora; Mehrdad Sabetzadeh","https://doi.org/10.1145/3510003.3510157","DOI","HIGH","Direct evidence for anaphora/implicit-reference handling."
"E025","Saad Ezzini","C2","Direct","3","Using Domain-specific Corpora for Improved Handling of Ambiguity in Requirements","RE (2021)","Saad Ezzini; Sallam Abualhaija; Chetan Arora; Mehrdad Sabetzadeh","https://orbilu.uni.lu/handle/10993/46224?locale=en","Institutional record","HIGH","Domain corpora and ambiguity resolution in requirements."
"E026","Saad Ezzini","C2","Adjacent","1","Artificial Intelligence-enabled Automation For Ambiguity Handling And Question Answering In Natural-language Requirements","PhD thesis (2022)","Saad Ezzini","https://research.lancaster-university.uk/en/publications/artificial-intelligence-enabled-automation-for-ambiguity-handling/","Institutional record","CONTEXT","Broader research program; thesis, not a paper."
"E027","Mehrdad Sabetzadeh","C2","Direct","3","Automated Extraction and Clustering of Requirements Glossary Terms","IEEE Transactions on Software Engineering (2017)","Chetan Arora; Mehrdad Sabetzadeh; Lionel Briand; Frank Zimmer","https://doi.org/10.1109/TSE.2016.2635134","DOI","HIGH","Glossary/entity extraction and vocabulary normalization."
"E028","Mehrdad Sabetzadeh","C2","Direct","3","Change Impact Analysis for Natural Language Requirements: An NLP Approach","RE (2015)","Chetan Arora; Mehrdad Sabetzadeh; Arda Göknil; Lionel Briand; Frank Zimmer","https://doi.org/10.1109/RE.2015.7320403","DOI","HIGH","NLP-based requirements impact analysis."
"E029","Mehrdad Sabetzadeh","C2","Direct","3","Practical Guidelines for the Selection and Evaluation of Natural Language Processing Techniques in Requirements Engineering","Book chapter (2024)","Mehrdad Sabetzadeh; Chetan Arora","https://arxiv.org/abs/2401.01508","arXiv","HIGH","Requirements NLP method/evaluation guidance."
"E030","Mehrdad Sabetzadeh","C2","Direct","3","Improving Requirements Completeness: Automated Assistance through Large Language Models","arXiv (2023)","Dipeeka Luitel; Shabnam Hassani; Mehrdad Sabetzadeh","https://arxiv.org/abs/2308.03784","arXiv","HIGH","LLM-assisted requirements quality and completeness."
"E031","Mehrdad Sabetzadeh","C2","Direct","3","Using Language Models for Enhancing the Completeness of Natural-language Requirements","arXiv (2023)","Dipeeka Luitel; Shabnam Hassani; Mehrdad Sabetzadeh","https://arxiv.org/abs/2302.04792","arXiv","HIGH","Language-model support for requirements quality."
"E032","Denys Poshyvanyk","C2","Direct","3","Improving the Effectiveness of Traceability Link Recovery using Hierarchical Bayesian Networks","ICSE (2020)","Kevin Moran; David N. Palacio; Carlos Bernal-Cárdenas; Daniel McCrystal; Denys Poshyvanyk; Chris Shenefiel; Jeff Johnson","https://doi.org/10.1145/3377811.3380418","DOI","HIGH","Direct trace-link recovery with multiple signals and implicit/transitive relations."
"E033","Denys Poshyvanyk","C2","Direct","3","Combining Textual and Structural Analysis of Software Artifacts for Traceability Link Recovery","TEFSE (2009)","Collin McMillan; Denys Poshyvanyk; Meghan Revelle","https://doi.org/10.1109/TEFSE.2009.5069582","DOI","HIGH","Direct textual plus structural trace-link recovery."
"E034","Denys Poshyvanyk","C2","Direct","3","On Integrating Orthogonal Information Retrieval Methods to Improve Traceability Link Recovery","ICSME (2011)","M. Gethers; R. Oliveto; Denys Poshyvanyk; A. De Lucia","https://www.cs.wm.edu/~denys/pubs/ICSM11-Traceability-CRC.pdf","Author-hosted paper","HIGH","Direct multi-method traceability recovery."
"E035","Denys Poshyvanyk","C2","Direct","3","Using Structural Information and User Feedback to Improve IR-based Traceability Recovery","CSMR (2013)","A. Panichella; C. McMillan; E. Moritz; D. Palmieri; R. Oliveto; Denys Poshyvanyk; A. De Lucia","https://www.cs.wm.edu/semeru/data/csmr13/","Research artifact page","HIGH","Direct structural/user-feedback improvement to trace recovery."
"E036","Denys Poshyvanyk","C2","Direct","3","On the Equivalence of Information Retrieval Methods for Automated Traceability Link Recovery","ICPC (2010)","R. Oliveto; M. Gethers; Denys Poshyvanyk; A. De Lucia","https://www.cs.wm.edu/~dposhyvanyk/publications.html","Author publication page","HIGH","Direct comparison of automated traceability recovery methods."
"E037","Denys Poshyvanyk","C2","Direct","3","Using Traceability Links to Assess and Maintain the Quality of Software Documentation","GCT/TEFSE (2007)","Denys Poshyvanyk; Andrian Marcus","https://www.cs.wm.edu/~dposhyvanyk/publications.html","Author publication page","HIGH","Direct traceability/documentation-quality connection."
"E038","Denys Poshyvanyk","C2","Direct","3","Information Retrieval Methods for Automated Traceability Recovery","Book chapter (2012)","Andrea De Lucia; Andrian Marcus; Rocco Oliveto; Denys Poshyvanyk","https://www.cs.wm.edu/~dposhyvanyk/publications.html","Author publication page","HIGH","Direct survey/chapter on IR-based traceability recovery."
"E039","Gabriele Bavota","C2","Direct","3","Enhancing Software Artefact Traceability Recovery Processes with Link Count Information","Information and Software Technology (2014)","Gabriele Bavota; Andrea De Lucia; Rocco Oliveto; Genoveffa Tortora","https://doi.org/10.1016/j.infsof.2013.08.004","DOI","HIGH","Traceability recovery process and human validation of candidate links."
"E040","Gabriele Bavota","C2","Direct","3","Recovering Test-To-Code Traceability Using Slicing and Textual Analysis","Journal of Systems and Software (2014)","A. Qusef; Gabriele Bavota; Rocco Oliveto; Andrea De Lucia; D. Binkley","https://doi.org/10.1016/j.jss.2013.10.019","DOI","HIGH","Direct test-to-code traceability using structural and textual evidence."
"E041","Gabriele Bavota","C2","Direct","3","Evaluating Test-to-Code Traceability Recovery Methods through Controlled Experiments","Journal of Software: Evolution and Process (2013)","A. Qusef; Gabriele Bavota; Rocco Oliveto; Andrea De Lucia; D. Binkley","https://doi.org/10.1002/smr.1573","DOI","HIGH","Evaluation methodology for traceability recovery."
