task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run1,mediastore,61,,,,model-doc/aalinker/luna_s92actl/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run1,teastore,679,,,,model-doc/aalinker/luna_s92actl/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run1,teammates,9747,,,,model-doc/aalinker/luna_s92actl/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run1,bigbluebutton,2163,,,,model-doc/aalinker/luna_s92actl/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run1,jabref,9262,,,,model-doc/aalinker/luna_s92actl/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run2,mediastore,61,,,,model-doc/aalinker/luna_s92actl/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run2,teastore,711,,,,model-doc/aalinker/luna_s92actl/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run2,teammates,7457,,,,model-doc/aalinker/luna_s92actl/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run2,bigbluebutton,2171,,,,model-doc/aalinker/luna_s92actl/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run2,jabref,9262,,,,model-doc/aalinker/luna_s92actl/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run3,mediastore,61,,,,model-doc/aalinker/luna_s92actl/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run3,teastore,715,,,,model-doc/aalinker/luna_s92actl/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run3,teammates,8318,,,,model-doc/aalinker/luna_s92actl/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run3,bigbluebutton,1982,,,,model-doc/aalinker/luna_s92actl/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s92actl,gpt-5.6-luna,full,run3,jabref,9262,,,,model-doc/aalinker/luna_s92actl/run3/jabref.csv o model-code/arcotl/jabref.csv,
