sentence,component_id,component_name,confidence,source
1,cluster-level-logging,Cluster-level Logging,1.00,partial_name
2,cluster-level-logging,Cluster-level Logging,1.00,partial_name
4,cluster-level-logging,Cluster-level Logging,1.00,partial_name
5,kube-apiserver,kube-apiserver,1.00,full_name
6,etcd,etcd,1.00,full_name
6,kube-apiserver,kube-apiserver,1.00,full_name
7,kube-scheduler,kube-scheduler,1.00,full_name
8,cloud-controller-manager,cloud-controller-manager,1.00,partial_name
8,kube-controller-manager,kube-controller-manager,1.00,full_name
9,cloud-controller-manager,cloud-controller-manager,1.00,full_name
10,container-runtime,Container runtime,1.00,partial_name
11,container-resource-monitoring,Container Resource Monitoring,1.00,partial_name
11,container-runtime,Container runtime,1.00,partial_name
11,kubelet,kubelet,1.00,full_name
12,kube-proxy,kube-proxy,1.00,full_name
13,container-resource-monitoring,Container Resource Monitoring,1.00,partial_name
13,container-runtime,Container runtime,1.00,full_name
14,container-resource-monitoring,Container Resource Monitoring,1.00,partial_name
14,container-runtime,Container runtime,1.00,full_name
15,cluster-level-logging,Cluster-level Logging,1.00,partial_name
18,dns,DNS,1.00,full_name
19,web-ui-dashboard,Web UI (Dashboard),1.00,full_name
20,container-resource-monitoring,Container Resource Monitoring,1.00,full_name
21,cluster-level-logging,Cluster-level Logging,1.00,full_name
25,cluster-level-logging,Cluster-level Logging,1.00,partial_name
26,cluster-level-logging,Cluster-level Logging,1.00,partial_name
28,cluster-level-logging,Cluster-level Logging,1.00,partial_name
29,cluster-level-logging,Cluster-level Logging,1.00,partial_name
30,cluster-level-logging,Cluster-level Logging,1.00,partial_name
31,cluster-level-logging,Cluster-level Logging,1.00,partial_name
32,cluster-level-logging,Cluster-level Logging,1.00,partial_name
33,kube-proxy,kube-proxy,1.00,full_name
34,cluster-level-logging,Cluster-level Logging,1.00,partial_name
34,kube-proxy,kube-proxy,1.00,full_name
36,kube-proxy,kube-proxy,1.00,full_name
37,cluster-level-logging,Cluster-level Logging,1.00,partial_name
39,container-resource-monitoring,Container Resource Monitoring,1.00,partial_name
39,container-runtime,Container runtime,1.00,partial_name
41,cloud-controller-manager,cloud-controller-manager,1.00,partial_name
41,kube-controller-manager,kube-controller-manager,1.00,partial_name
43,cloud-controller-manager,cloud-controller-manager,1.00,partial_name
43,kube-controller-manager,kube-controller-manager,1.00,partial_name
44,cloud-controller-manager,cloud-controller-manager,1.00,partial_name
44,kube-controller-manager,kube-controller-manager,1.00,partial_name
45,cloud-controller-manager,cloud-controller-manager,1.00,partial_name
45,kube-controller-manager,kube-controller-manager,1.00,partial_name
46,cloud-controller-manager,cloud-controller-manager,1.00,partial_name
46,kube-controller-manager,kube-controller-manager,1.00,partial_name
48,cloud-controller-manager,cloud-controller-manager,1.00,full_name
48,kube-controller-manager,kube-controller-manager,1.00,partial_name
49,cloud-controller-manager,cloud-controller-manager,1.00,full_name
50,cloud-controller-manager,cloud-controller-manager,1.00,full_name
50,kube-controller-manager,kube-controller-manager,1.00,full_name
52,kube-controller-manager,kube-controller-manager,1.00,partial_name
53,kube-controller-manager,kube-controller-manager,1.00,partial_name
54,kube-controller-manager,kube-controller-manager,1.00,partial_name
55,kube-controller-manager,kube-controller-manager,1.00,partial_name
