project,sentence,component,stream,gold,naming,span,capitalized,mention_label,anchors,last_named_before,alternatives,covered_by_other_name,other_components_named_here
mediastore,1,Facade,full_name,1,whole name,Facade,True,,2,-1,0,False,0
mediastore,3,Facade,full_name,1,whole name,Facade,True,,2,2,0,False,0
mediastore,6,Facade,full_name,1,whole name,Facade,True,,2,3,0,False,0
mediastore,7,MediaManagement,full_name,1,whole name,MediaManagement,True,,2,-1,0,False,0
mediastore,8,MediaManagement,full_name,1,whole name,MediaManagement,True,,2,1,0,False,0
mediastore,11,UserManagement,full_name,1,whole name,UserManagement,True,,1,-1,0,False,0
mediastore,12,DB,full_name,0,alias,Database,True,via known alias,0,-1,0,False,1
mediastore,12,UserDBAdapter,full_name,1,whole name,UserDBAdapter,True,,2,-1,0,False,1
mediastore,13,UserManagement,full_name,1,whole name,UserManagement,True,,1,2,0,False,0
mediastore,16,TagWatermarking,full_name,1,whole name,TagWatermarking,True,,1,-1,0,False,0
mediastore,17,TagWatermarking,full_name,1,whole name,TagWatermarking,True,,1,1,0,False,1
mediastore,17,MediaManagement,full_name,1,whole name,MediaManagement,True,,2,9,0,False,1
mediastore,19,Packaging,full_name,1,whole name,Packaging,True,,0,-1,0,False,0
mediastore,20,Reencoding,full_name,1,alias,ReEncoder,True,via known alias,0,-1,0,False,0
mediastore,23,DB,full_name,1,alias,Database,True,via known alias,0,-1,0,False,0
mediastore,25,DB,full_name,1,alias,Database,True,via known alias,0,-1,0,False,1
mediastore,25,MediaAccess,full_name,1,alias,AudioAccess,True,via known alias,3,-1,0,False,1
mediastore,26,MediaAccess,full_name,1,whole name,MediaAccess,True,,2,-1,0,False,0
mediastore,27,DB,full_name,0,alias,Database,True,via known alias,0,-1,0,False,1
mediastore,27,MediaAccess,full_name,1,whole name,MediaAccess,True,,2,1,0,False,1
mediastore,29,DB,full_name,0,alias,Database,True,via known alias,0,-1,0,False,1
mediastore,29,UserDBAdapter,full_name,1,whole name,UserDBAdapter,True,,2,17,0,False,1
mediastore,30,UserDBAdapter,full_name,1,whole name,UserDBAdapter,True,,2,1,0,False,0
mediastore,31,DB,full_name,1,alias,Database,True,via known alias,0,-1,0,False,0
mediastore,32,DB,full_name,1,alias,Database,True,via known alias,0,-1,0,False,0
mediastore,33,DB,full_name,1,alias,Database,True,via known alias,0,-1,0,False,1
mediastore,33,FileStorage,full_name,1,alias,DataStorage,True,via known alias,0,-1,0,False,1
mediastore,34,DB,full_name,1,alias,Database,True,via known alias,0,-1,0,False,1
mediastore,34,MediaAccess,full_name,1,whole name,MediaAccess,True,,2,7,0,False,1
mediastore,35,FileStorage,full_name,1,alias,DataStorage,True,via known alias,0,-1,0,False,0
mediastore,36,FileStorage,full_name,1,alias,DataStorage,True,via known alias,0,-1,0,False,0
teastore,1,Registry,full_name,1,whole name,Registry,True,,4,-1,0,False,0
teastore,2,WebUI,full_name,1,whole name,WebUI,True,,3,-1,0,False,1
teastore,2,ImageProvider,full_name,1,alias,Image Provider,True,via known alias,0,-1,0,False,1
teastore,3,Auth,full_name,1,whole name,Auth,True,,1,-1,0,False,0
teastore,4,Persistence,full_name,1,alias,PersistenceProvider,True,via known alias,2,-1,0,False,1
teastore,4,Recommender,full_name,1,whole name,Recommender,True,,1,-1,0,False,1
teastore,5,WebUI,full_name,1,whole name,WebUI,True,,3,3,0,False,0
teastore,7,WebUI,full_name,1,whole name,WebUi,True,,3,2,0,False,1
teastore,7,ImageProvider,full_name,1,alias,Image Provider,True,via known alias,0,-1,0,False,1
teastore,8,WebUI,full_name,1,alias,UI,True,via known alias,4,1,0,False,0
teastore,10,WebUI,full_name,1,whole name,WebUI,True,,3,3,0,False,1
teastore,10,ImageProvider,full_name,1,alias,Image Provider,True,via known alias,0,-1,0,False,1
teastore,11,WebUI,full_name,0,alias,UI,True,via known alias,4,1,0,False,0
teastore,12,WebUI,full_name,0,alias,UI,True,via known alias,4,2,0,False,1
teastore,12,ImageProvider,full_name,1,alias,Image Provider,True,via known alias,0,-1,0,False,1
teastore,13,WebUI,full_name,0,alias,UI,True,via known alias,4,3,0,False,0
teastore,15,WebUI,full_name,0,alias,UI,True,via known alias,4,5,0,False,0
teastore,18,Auth,full_name,1,whole name,Auth,True,,1,15,0,False,0
teastore,22,Persistence,full_name,1,whole name,Persistence,True,,1,-1,0,False,0
teastore,25,Persistence,full_name,1,whole name,persistence,False,,1,3,0,False,0
teastore,27,Recommender,full_name,1,whole name,Recommender,True,,1,23,0,False,0
teastore,37,Registry,full_name,1,whole name,Registry,True,,4,36,0,False,0
teastore,38,Registry,full_name,1,whole name,registry,False,,4,1,0,False,0
teastore,41,Registry,full_name,1,whole name,registry,False,,4,3,0,False,0
teastore,43,Registry,full_name,1,whole name,registry,False,,4,2,0,False,0
teammates,1,UI,full_name,1,whole name,UI,True,,11,-1,0,False,6
teammates,1,Logic,full_name,1,whole name,Logic,True,,21,-1,0,False,6
teammates,1,Storage,full_name,1,whole name,Storage,True,,13,-1,0,False,6
teammates,1,Test Driver,full_name,1,whole name,Test Driver,True,,3,-1,0,False,6
teammates,1,E2E,full_name,1,whole name,E2E,True,,10,-1,0,False,6
teammates,1,Client,full_name,1,whole name,Client,True,,7,-1,0,False,6
teammates,1,Common,full_name,1,whole name,Common,True,,11,-1,0,False,6
