backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run1,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,run1,NameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,mediastore,1.000000,0.050847,0.096774,0.062762,0.133333,0.087719,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teastore,1.000000,0.478076,0.646890,0.533797,0.851064,0.781250,0.000000,0.000000,0.000000,0.000000
terra,run1,NameOnly,teastore,1.000000,0.304102,0.466377,0.353270,0.714286,0.609756,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teastore,1.000000,0.188119,0.316667,0.224586,0.411765,0.304348,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,teammates,0.964410,0.716191,0.821970,0.755058,0.596273,0.485830,0.715990,0.611746,0.808772,0.756008
terra,run1,NameOnly,teammates,0.970480,0.686180,0.803936,0.728885,0.551282,0.439673,0.712683,0.607889,0.771511,0.701697
terra,run1,CorefOnly,teammates,0.948980,0.103372,0.186435,0.125789,0.134454,0.088496,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,bigbluebutton,0.770737,0.875082,0.819602,0.852012,0.881579,0.861183,0.571429,0.454545,0.819198,0.787591
terra,run1,NameOnly,bigbluebutton,0.769186,0.865271,0.814404,0.844181,0.874172,0.850515,0.571429,0.454545,0.812541,0.777790
terra,run1,CorefOnly,bigbluebutton,0.880000,0.028777,0.055731,0.035680,0.119048,0.077882,0.000000,0.000000,0.000000,0.000000
terra,run1,Full,jabref,0.870866,1.000000,0.930976,0.971198,0.956522,0.982143,0.888889,0.952381,0.966443,0.986301
terra,run1,NameOnly,jabref,0.894418,1.000000,0.944267,0.976935,0.977778,0.990991,0.888889,0.952381,0.979592,0.991736
terra,run1,CorefOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,run2,NameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.658915,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,mediastore,1.000000,0.050847,0.096774,0.062762,0.133333,0.087719,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teastore,1.000000,0.478076,0.646890,0.533797,0.851064,0.781250,0.000000,0.000000,0.000000,0.000000
terra,run2,NameOnly,teastore,1.000000,0.304102,0.466377,0.353270,0.714286,0.609756,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teastore,1.000000,0.173975,0.296386,0.208404,0.312500,0.221239,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,teammates,0.962614,0.680499,0.797337,0.722869,0.596273,0.485830,0.715990,0.611746,0.806717,0.752748
terra,run2,NameOnly,teammates,0.968570,0.643201,0.773044,0.689527,0.541935,0.430328,0.712683,0.607889,0.763690,0.691392
terra,run2,CorefOnly,teammates,0.965089,0.153637,0.265076,0.184696,0.165289,0.110132,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,bigbluebutton,0.797853,0.875082,0.834685,0.858463,0.887417,0.863402,0.571429,0.454545,0.836325,0.793843
terra,run2,NameOnly,bigbluebutton,0.796508,0.865271,0.829467,0.850585,0.880000,0.852713,0.571429,0.454545,0.829389,0.783887
terra,run2,CorefOnly,bigbluebutton,0.937500,0.009810,0.019417,0.012231,0.025000,0.015773,0.000000,0.000000,0.000000,0.000000
terra,run2,Full,jabref,0.894418,1.000000,0.944267,0.976935,0.977778,0.990991,0.888889,0.952381,0.979592,0.991736
terra,run2,NameOnly,jabref,0.894418,1.000000,0.944267,0.976935,0.977778,0.990991,0.888889,0.952381,0.979592,0.991736
terra,run2,CorefOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
