project,sentence_id,target_id,component,reference_form,evidence,ours,artemis,swattr,our_linker,sentence
mediastore,1,_st2Y0HDrEeSqnN80MQ2uGw,Facade,F1 exact-name,[verbatim] exact:facade,1,1,1,full_name,"One of the main components of Media Store is a server-side web front end, namely the Facade component, which delivers websites to the users and provides session management."
mediastore,3,_st2Y0HDrEeSqnN80MQ2uGw,Facade,F1 exact-name,[verbatim] exact:facade,1,1,1,full_name,"To this end, the Facade component delivers the corresponding registration and log-in pages to users."
mediastore,6,_st2Y0HDrEeSqnN80MQ2uGw,Facade,F1 exact-name,[verbatim] exact:facade,1,1,1,full_name,"In addition, users can browse, download, and upload audio files using the Facade component."
mediastore,7,_p_EeYHDrEeSqnN80MQ2uGw,MediaManagement,F1 exact-name,[verbatim]  stem:media,1,1,1,full_name,"Application business logic is provided by a central business logic component, called the MediaManagement component."
mediastore,8,_p_EeYHDrEeSqnN80MQ2uGw,MediaManagement,F1 exact-name,[verbatim]  stem:media,1,1,1,full_name,The MediaManagement component coordinates the communication of other components.
mediastore,9,_p_EeYHDrEeSqnN80MQ2uGw,MediaManagement,F3 coreferent,ctx:[verbatim]  stem:media,1,1,0,coreference,"Furthermore, it fetches audio files from a specific location (e.g., a dedicated file server or a local disk) when processing download requests."
mediastore,11,_ahv3gL0YEeSAHuL4ItXOLQ,UserManagement,F1 exact-name,[verbatim]  stem:user,1,1,1,full_name,The UserManagement component answers the requests for registration and authentication.
mediastore,12,_tBjC0HDpEeSqnN80MQ2uGw,UserDBAdapter,F1 exact-name,[verbatim]  stem:user,1,1,1,full_name,The UserDBAdapter component queries the database.
mediastore,13,_ahv3gL0YEeSAHuL4ItXOLQ,UserManagement,F1 exact-name,[verbatim] exact:user,1,1,1,full_name,"When a user logs into the system, Media Store does not store the password in plain text, but rather the UserManagement component implements further functions to hash and salt the passwords."
mediastore,16,_h_QpkLhEEeSNPorBlo7x9g,TagWatermarking,F1 exact-name,[verbatim],1,1,1,full_name,The re-encoded files are then digitally and individually watermarked by the TagWatermarking component.
mediastore,17,_h_QpkLhEEeSNPorBlo7x9g,TagWatermarking,F1 exact-name,[verbatim],1,1,1,full_name,"Afterward, the MediaManagement component forwards these audio files from the TagWatermarking component to the user."
mediastore,17,_p_EeYHDrEeSqnN80MQ2uGw,MediaManagement,F1 exact-name,[verbatim]  stem:media,1,1,1,full_name,"Afterward, the MediaManagement component forwards these audio files from the TagWatermarking component to the user."
mediastore,19,_B5geQHDsEeSqnN80MQ2uGw,Packaging,F1 exact-name,[verbatim] exact:packaging,1,1,1,full_name,"To allow users to download several files at a time, we provide the Packaging component, which archives multiple audio files into a single compressed file."
mediastore,20,_o10-YHDrEeSqnN80MQ2uGw,Reencoding,F4 renamed,—,1,1,0,full_name,The ReEncoder component converts the bit rates of audio files.
mediastore,23,_5LN7MLg2EeSNPorBlo7x9g,DB,F4 renamed,—,1,1,0,full_name,"The Database component represents an actual database (e.g., MySQL)."
mediastore,24,_5LN7MLg2EeSNPorBlo7x9g,DB,F4 renamed,—,1,1,0,coreference,It stores user information and meta-data of audio files such as the name and the genre.
mediastore,25,_5LN7MLg2EeSNPorBlo7x9g,DB,F4 renamed,—,1,1,0,full_name,"After the user calls the page to list all available audio files, AudioAccess creates a query that is sent to the Database component."
mediastore,25,_9eK7YHDrEeSqnN80MQ2uGw,MediaAccess,F4 renamed,—,1,1,0,full_name,"After the user calls the page to list all available audio files, AudioAccess creates a query that is sent to the Database component."
mediastore,26,_9eK7YHDrEeSqnN80MQ2uGw,MediaAccess,F1 exact-name,[verbatim]  stem:media,1,1,1,full_name,"When a user uploads an audio file, the MediaAccess component stores it at the predefined location."
mediastore,27,_9eK7YHDrEeSqnN80MQ2uGw,MediaAccess,F1 exact-name,[verbatim] exact:access stem:media,1,1,1,full_name,The MediaAccess component encapsulates database access for meta-data of audio files.
mediastore,28,_9eK7YHDrEeSqnN80MQ2uGw,MediaAccess,F3 coreferent,ctx:[verbatim] exact:access stem:media,1,1,0,coreference,"Furthermore, it fetches a list of all available audio files."
mediastore,29,_tBjC0HDpEeSqnN80MQ2uGw,UserDBAdapter,F1 exact-name,[verbatim] exact:user,1,1,1,full_name,"By contrast, the UserDBAdapter component provides all functions required in order to encapsulate database access for the user data."
mediastore,30,_tBjC0HDpEeSqnN80MQ2uGw,UserDBAdapter,F1 exact-name,[verbatim] exact:user,1,1,1,full_name,The UserDBAdapter component creates a query based on the user's request.
mediastore,31,_5LN7MLg2EeSNPorBlo7x9g,DB,F3 coreferent,ctx:[verbatim],1,1,0,full_name,The Database component then executes the actual query for files.
mediastore,32,_5LN7MLg2EeSNPorBlo7x9g,DB,F3 coreferent,ctx:[verbatim],1,1,0,full_name,All salted hashes of passwords are also stored in the Database component.
mediastore,33,_5LN7MLg2EeSNPorBlo7x9g,DB,F3 coreferent,ctx:[verbatim],1,0,0,full_name,"By contrast, all audio files are stored in a specific location (e.g., a dedicated file server or a local disk) to decouple the DataStorage from the database."
mediastore,33,_qxAiILg7EeSNPorBlo7x9g,FileStorage,F2 partial-name,exact:file,1,1,0,full_name,"By contrast, all audio files are stored in a specific location (e.g., a dedicated file server or a local disk) to decouple the DataStorage from the database."
mediastore,34,_5LN7MLg2EeSNPorBlo7x9g,DB,F4 renamed,—,1,1,0,full_name,"When a user requests files to download, the MediaAccess component fetches the associated meta-data from the Database."
mediastore,34,_9eK7YHDrEeSqnN80MQ2uGw,MediaAccess,F1 exact-name,[verbatim]  stem:media,1,1,1,full_name,"When a user requests files to download, the MediaAccess component fetches the associated meta-data from the Database."
mediastore,35,_qxAiILg7EeSNPorBlo7x9g,FileStorage,F2 partial-name,exact:file,1,1,0,full_name,"Afterwards, based on the user request and the corresponding meta-data, the file will be retrieved from the DataStorage."
mediastore,36,_qxAiILg7EeSNPorBlo7x9g,FileStorage,F2 partial-name,exact:file,1,1,0,full_name,"When a user uploads a file, it will be stored in the DataStorage without any change."
teastore,1,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,F1 exact-name,[verbatim] exact:registry,1,1,1,full_name,The TeaStore consists of 5 replicatable services and a single Registry instance.
teastore,2,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,F1 exact-name,[verbatim],1,1,1,full_name,The WebUI service retrieves images from the Image Provider.
teastore,2,_yA04AKTKEeqKjI323B3R3w,ImageProvider,F1 exact-name,"[verbatim] exact:provider,image",1,1,1,full_name,The WebUI service retrieves images from the Image Provider.
teastore,3,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,F1 exact-name,[verbatim] exact:auth,1,1,1,full_name,Users are authenticated by the Auth service.
teastore,4,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,F1 exact-name,[verbatim]  stem:persistence,1,1,1,full_name,Data is retrieved from the PersistenceProvider and product recommendations from the Recommender service.
teastore,4,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,F1 exact-name,[verbatim] exact:recommender,1,1,1,full_name,Data is retrieved from the PersistenceProvider and product recommendations from the Recommender service.
teastore,5,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,F1 exact-name,[verbatim],1,1,1,full_name,The WebUI provides the TeaStore front-end using Servlets in combination with JSP files.
teastore,6,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,F3 coreferent,ctx:[verbatim],1,1,0,coreference,It contains logic to save and retireve values from cookies.
teastore,7,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,F1 exact-name,[verbatim],1,1,1,full_name,"Images (with few exceptions) are not provides by the WebUi, but are retrieved from the Image Provider service instead."
teastore,7,_yA04AKTKEeqKjI323B3R3w,ImageProvider,F1 exact-name,"[verbatim] exact:provider,image",1,1,1,full_name,"Images (with few exceptions) are not provides by the WebUi, but are retrieved from the Image Provider service instead."
teastore,8,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,F2 partial-name,exact:ui,1,1,0,full_name,The UI provides a status page at link indicating the current state of the TeaStore.
teastore,10,_bC13QDVWEeqPG_FgW3bi6Q,WebUI,F1 exact-name,[verbatim],1,0,1,full_name,The Image Provider delivers images to the WebUI as base64 encoded strings to embed them in the final HTML.
teastore,10,_yA04AKTKEeqKjI323B3R3w,ImageProvider,F1 exact-name,"[verbatim] exact:provider,image",1,1,1,full_name,The Image Provider delivers images to the WebUI as base64 encoded strings to embed them in the final HTML.
teastore,11,_yA04AKTKEeqKjI323B3R3w,ImageProvider,F2 partial-name,exact:image,1,1,0,coreference,It matches the provided product ID or UI name (the filename for images not representing a product and therefore without product ID) and the image size to a unique image identifier.
teastore,12,_yA04AKTKEeqKjI323B3R3w,ImageProvider,F1 exact-name,"[verbatim] exact:provider,image",1,1,1,full_name,"If the product ID or UI name is not available to the Image Provider, a standard ""not found"" image will be delivered in the correct size."
teastore,18,_AiuxcDVdEeqPG_FgW3bi6Q,Auth,F1 exact-name,[verbatim] exact:auth,1,1,1,full_name,The Auth service handles user and session authentication.
teastore,22,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,F1 exact-name,[verbatim] exact:persistence,1,1,1,full_name,The Persistence service provides access to the data persisted in the relational database back-end.
teastore,23,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,F3 coreferent,ctx:[verbatim] exact:persistence,1,1,0,coreference,It maps the relational entities to the JSON entity objects passed between services using the EclipseLink JPA ORM mapper.
teastore,24,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,F3 coreferent,ctx:[verbatim] exact:persistence,1,1,0,coreference,"It features endpoints for general CRUD-Operations (Create, Read, Update, Delete) for the persistent entities."
teastore,25,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,F1 exact-name,[verbatim] exact:persistence,1,1,1,full_name,The persistence provider uses a second level entity cache provided by the JPA implementation.
teastore,26,_lnx1oDVWEeqPG_FgW3bi6Q,Persistence,F3 coreferent,ctx:[verbatim] exact:persistence,0,1,0,—,"As such, it also acts as a caching layer."
teastore,27,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,F1 exact-name,[verbatim] exact:recommender,1,1,1,full_name,The Recommender is used to generate individual product recommendations for each user.
teastore,28,_m3fxEDVWEeqPG_FgW3bi6Q,Recommender,F3 coreferent,ctx:[verbatim] exact:recommender,1,1,0,coreference,It is trained using all existing orders.
teastore,37,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,F1 exact-name,[verbatim] exact:registry,1,1,1,full_name,The Registry provides information about how many service instances are online for each service and where they are located.
teastore,38,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,F1 exact-name,[verbatim] exact:registry,1,1,1,full_name,Service instances register themselves at the registry on startup.
teastore,41,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,F1 exact-name,[verbatim] exact:registry,1,1,1,full_name,Every running instance of the TeaStore uses one single registry.
teastore,43,_dhM6oDVXEeqPG_FgW3bi6Q,Registry,F1 exact-name,[verbatim] exact:registry,1,1,1,full_name,"By limiting it to a single registry instance, it enables easy configuration of multiple parallel TeaStores with minimal configuration overhead."
teammates,1,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,1,1,full_name,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,_9JlCIKESEeu-mYqkDskRow,Storage,F1 exact-name,[verbatim] exact:storage,1,1,1,full_name,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,_Bae2oKETEeu-mYqkDskRow,Test Driver,F1 exact-name,"[verbatim] exact:driver,test",1,1,1,full_name,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,_EIoe8KETEeu-mYqkDskRow,E2E,F1 exact-name,[verbatim],1,1,1,full_name,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,_GaP8QKETEeu-mYqkDskRow,Client,F1 exact-name,[verbatim] exact:client,1,1,1,full_name,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,1,_zUmhEKESEeu-mYqkDskRow,Common,F1 exact-name,[verbatim] exact:common,1,1,1,full_name,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,4,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,1,1,full_name,"The UI Browser seen by users consists of Web pages containing HTML, CSS for styling and JavaScript for client-side interactions such as sorting, input validation, etc.."
teammates,5,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,1,1,full_name,This UI is a single HTML page generated by Angular framework.
teammates,7,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,1,1,full_name,In the UI Server the entry point for the application back end logic is designed as a REST-ful controller.
teammates,7,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,0,0,1,—,In the UI Server the entry point for the application back end logic is designed as a REST-ful controller.
teammates,8,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,0,0,1,coreference,The main logic of the application is in POJOs (Plain Old Java Objects).
teammates,9,_9JlCIKESEeu-mYqkDskRow,Storage,F1 exact-name,[verbatim] exact:storage,1,0,1,coreference,"The storage layer of the application uses the persistence framework provided by GAE Datastore, a NoSQL database."
teammates,9,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,F1 exact-name,"[verbatim] exact:datastore,gae",1,0,1,full_name,"The storage layer of the application uses the persistence framework provided by GAE Datastore, a NoSQL database."
teammates,10,_Bae2oKETEeu-mYqkDskRow,Test Driver,F1 exact-name,"[verbatim] exact:driver,test",1,1,1,full_name,The following explains the use of the Test Driver.
teammates,15,_EIoe8KETEeu-mYqkDskRow,E2E,F1 exact-name,[verbatim],1,1,1,full_name,The E2E end-to-end component is used to interact with the application as a whole with Web browsers.
teammates,16,_EIoe8KETEeu-mYqkDskRow,E2E,F1 exact-name,[verbatim],1,1,1,full_name,Its primary function is for E2E tests.
teammates,18,_GaP8QKETEeu-mYqkDskRow,Client,F1 exact-name,[verbatim] exact:client,1,1,1,full_name,The Client component can connect to the back end directly without using a Web browser.
teammates,19,_GaP8QKETEeu-mYqkDskRow,Client,F3 coreferent,ctx:[verbatim] exact:client,1,0,0,coreference,"It is used for administrative purposes, e.g. migrating data to a new schema."
teammates,20,_zUmhEKESEeu-mYqkDskRow,Common,F1 exact-name,[verbatim] exact:common,1,0,1,full_name,"The Common component contains utility code (data transfer objects, helper classes, etc.) used across the application."
teammates,25,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,1,1,full_name,The diagram below shows the object structure of the UI component.
teammates,29,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,1,1,full_name,The UI component is the first stop for 99% of all requests that are received by the application.
teammates,47,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,"If the action is allowed, it will be performed, interacting with the Logic component as necessary."
teammates,68,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,"Seventh, the corresponding AutomatedAction will be performed, interacting with the Logic component as necessary."
teammates,77,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,The Logic component handles the business logic of TEAMMATES.
teammates,78,_3LCnIKESEeu-mYqkDskRow,Logic,F3 coreferent,ctx:[verbatim] exact:logic,1,0,0,coreference,"In particular, it is responsible for the following."
teammates,81,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,1,1,full_name,Sanitizing input values received from the UI component.
teammates,85,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,0,1,full_name,logic.api provides the API of the component to be accessed by the UI.
teammates,87,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,"Logic API is represented by the classes Logic, GateKeeper, EmailGenerator, EmailSender, TaskQueuer."
teammates,88,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,Logic is a Facade class which connects to the several Logic classes to handle the logic related to various types of data and to access data from the Storage component.
teammates,88,_9JlCIKESEeu-mYqkDskRow,Storage,F1 exact-name,[verbatim] exact:storage,1,1,1,full_name,Logic is a Facade class which connects to the several Logic classes to handle the logic related to various types of data and to access data from the Storage component.
teammates,97,_1lMqsKESEeu-mYqkDskRow,UI,F1 exact-name,[verbatim] exact:ui,1,1,1,full_name,The UI is expected to check access control (using GateKeeper class) before calling a method in the Logic.
teammates,97,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,0,1,full_name,The UI is expected to check access control (using GateKeeper class) before calling a method in the Logic.
teammates,101,_9JlCIKESEeu-mYqkDskRow,Storage,F1 exact-name,[verbatim] exact:storage,1,0,1,full_name,Entity already exists throws EntityAlreadyExistsException (escalated from Storage level).
teammates,118,_9JlCIKESEeu-mYqkDskRow,Storage,F1 exact-name,[verbatim] exact:storage,1,1,1,full_name,"The Storage component performs CRUD (Create, Read, Update, Delete) operations on data entities individually."
teammates,119,_9JlCIKESEeu-mYqkDskRow,Storage,F3 coreferent,ctx:[verbatim] exact:storage,1,0,0,coreference,It contains minimal logic beyond what is directly relevant to CRUD operations.
teammates,120,_9JlCIKESEeu-mYqkDskRow,Storage,F3 coreferent,ctx:[verbatim] exact:storage,1,0,0,coreference,"In particular, it is reponsible for the following."
teammates,122,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,Hiding the complexities of datastore from the Logic component.
teammates,122,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,F2 partial-name,exact:datastore,1,0,0,partial_name,Hiding the complexities of datastore from the Logic component.
teammates,123,_9JlCIKESEeu-mYqkDskRow,Storage,F1 exact-name,[verbatim] exact:storage,1,1,1,full_name,All GQL queries are to be contained inside the Storage component.
teammates,128,_9JlCIKESEeu-mYqkDskRow,Storage,F1 exact-name,[verbatim] exact:storage,1,1,1,full_name,The Storage component does not perform any cascade delete/create operations.
teammates,129,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,full_name,Cascade logic is handled by the Logic component.
teammates,131,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,0,1,full_name,storage.api provides the API of the component to be accessed by the logic component.
teammates,137,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,F1 exact-name,"[verbatim] exact:datastore,gae",1,0,1,full_name,These classes act as the bridge to the GAE Datastore.
teammates,138,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,F2 partial-name,exact:datastore,1,0,0,full_name+partial_name,Add and Delete operations try to wait until data is persisted in the datastore before returning.
teammates,141,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,F2 partial-name,exact:datastore,1,0,0,partial_name,Eventual consistency here means it takes some time for a database operation to propagate across all serves of the Google's distributed datastore.
teammates,155,_zUmhEKESEeu-mYqkDskRow,Common,F1 exact-name,[verbatim] exact:common,1,1,1,full_name,The Common component contains common utilities used across TEAMMATES.
teammates,163,_Bae2oKETEeu-mYqkDskRow,Test Driver,F1 exact-name,"[verbatim] exact:driver,test",1,1,1,full_name,Test Driver can use the DataBundle in this manner to send an arbitrary number of objects to be persisted in the database.
teammates,168,_Bae2oKETEeu-mYqkDskRow,Test Driver,F2 partial-name,stem:test,0,1,0,coreference,This component automates the testing of TEAMMATES.
teammates,174,_zUmhEKESEeu-mYqkDskRow,Common,F1 exact-name,[verbatim] exact:common,1,1,1,full_name,x.datatransfer contains component test cases for testing the datatransfer objects from the Common component.
teammates,175,_zUmhEKESEeu-mYqkDskRow,Common,F1 exact-name,[verbatim] exact:common,1,1,1,full_name,x.util contains component test cases for testing the utility classes from the Common component.
teammates,176,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,1,1,coreference+full_name,x.logic contains component test cases for testing the Logic component.
teammates,177,_9JlCIKESEeu-mYqkDskRow,Storage,F1 exact-name,[verbatim] exact:storage,1,1,1,coreference+full_name,x.storage contains component test cases for testing the Storage component.
teammates,185,_3LCnIKESEeu-mYqkDskRow,Logic,F1 exact-name,[verbatim] exact:logic,1,0,1,full_name,The E2E component has no knowledge of the internal workings of the application and can only interact either with Web browser as a whole application or REST API calls for the back-end logic.
teammates,185,_EIoe8KETEeu-mYqkDskRow,E2E,F1 exact-name,[verbatim],1,1,1,full_name,The E2E component has no knowledge of the internal workings of the application and can only interact either with Web browser as a whole application or REST API calls for the back-end logic.
teammates,186,_EIoe8KETEeu-mYqkDskRow,E2E,F1 exact-name,[verbatim],1,1,1,full_name,Its primary function is for E2E tests and L&P (Load & Performance) tests.
teammates,194,_GaP8QKETEeu-mYqkDskRow,Client,F1 exact-name,[verbatim] exact:client,1,1,1,full_name,"The Client component contains scripts that can connect directly to the application back-end for administrative purposes, such as migrating data to a new schema and calculating statistics."
bigbluebutton,4,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F1 exact-name,[verbatim] exact:client stem:html,1,1,1,full_name,HTML5 client.
bigbluebutton,5,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F1 exact-name,[verbatim] exact:client stem:html,1,1,1,full_name,"The HTML5 client is a single page, responsive web application that is built upon the following components, React.js for rendering the user interface in an efficient manner, WebRTC for sending/receiving audio and video."
bigbluebutton,6,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F1 exact-name,[verbatim] exact:client stem:html,1,1,1,full_name,"The HTML5 client connects directly with the BigBlueButton server over port 443 (SSL), from loading the BigBlueButton client to making a web socket connection."
bigbluebutton,6,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,exact:server stem:html,1,0,1,partial_name,"The HTML5 client connects directly with the BigBlueButton server over port 443 (SSL), from loading the BigBlueButton client to making a web socket connection."
bigbluebutton,8,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F1 exact-name,[verbatim] exact:server stem:html,1,1,1,full_name,The HTML5 server sits behind nginx.
bigbluebutton,9,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,exact:client stem:html,1,1,0,partial_name,The HTML5 server is built upon Meteor.js in ECMA2015 for communication between client and server and upon MongoDB for keeping the state of each BigBlueButton client consistent with the BigBlueButton server.
bigbluebutton,9,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F1 exact-name,[verbatim] exact:server stem:html,1,1,1,full_name,The HTML5 server is built upon Meteor.js in ECMA2015 for communication between client and server and upon MongoDB for keeping the state of each BigBlueButton client consistent with the BigBlueButton server.
bigbluebutton,10,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,exact:client,1,0,0,partial_name,"The MongoDB database contains information about all meetings on the server and, in turn, each client connected to a meeting."
bigbluebutton,10,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,exact:server,1,0,1,partial_name,"The MongoDB database contains information about all meetings on the server and, in turn, each client connected to a meeting."
bigbluebutton,11,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,exact:client,1,0,0,partial_name,"Each user's client is only aware of the their meeting's state, such the user's public and private chat messages sent and received."
bigbluebutton,12,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,exact:client,1,0,0,partial_name,The client side subscribes to the published collections on the server side.
bigbluebutton,12,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,exact:server,1,0,1,partial_name,The client side subscribes to the published collections on the server side.
bigbluebutton,13,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,exact:client,1,0,0,partial_name,Updates to MongoDB on the server side are automatically pushed to MiniMongo on the client side.
bigbluebutton,13,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,exact:server,1,0,1,partial_name,Updates to MongoDB on the server side are automatically pushed to MiniMongo on the client side.
bigbluebutton,14,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F1 exact-name,[verbatim] exact:client stem:html,1,1,1,full_name,The following diagram gives an overview of the architecture of the HTML5 client and its communications with the other components in BigBlueButton.
bigbluebutton,15,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F1 exact-name,[verbatim] exact:server stem:html,1,1,1,full_name,Scalability of HTML5 server component.
bigbluebutton,19,_0e5u8FkHEeyewPSmlgszyA,HTML5 Client,F2 partial-name,"stem:client,html",1,0,0,full_name,BigBlueButton 2.3 moves away from a single nodejs process for bbb-html5 towards multiple nodejs processes handling incoming messages from clients.
bigbluebutton,19,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,stem:html,0,1,0,—,BigBlueButton 2.3 moves away from a single nodejs process for bbb-html5 towards multiple nodejs processes handling incoming messages from clients.
bigbluebutton,20,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,stem:html,0,1,0,—,This means that bbb-html5 could use multiple CPU cores for processing messages and handling browser sessions (each nodejs process runs on a single CPU core).
bigbluebutton,21,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,stem:html,0,1,0,—,"As of 2.3-alpha-7, bbb-html5 uses 2 ""frontend"" and two ""backend"" processes (this value is configurable in bbb-html5-with-roles.conf, see Configuration Files)."
bigbluebutton,26,_XuNf4FkJEeyewPSmlgszyA,Apps,F1 exact-name,[verbatim] exact:apps,0,1,1,full_name,Frontends receive other DDP events including method calls to send events to akka-apps.
bigbluebutton,30,_4yx-8FkHEeyewPSmlgszyA,BBB web,F1 exact-name,"[verbatim] exact:web,bbb",1,1,1,full_name+partial_name,"If more than one backend is running, bbb-web splits the load in round-robin fashion by assigning an instanceId."
bigbluebutton,36,_4yx-8FkHEeyewPSmlgszyA,BBB web,F1 exact-name,"[verbatim] exact:web,bbb",1,1,1,full_name,BBB web.
bigbluebutton,37,_4yx-8FkHEeyewPSmlgszyA,BBB web,F2 partial-name,exact:web,1,1,0,full_name,BigBlueButton web application is a Java-based application written in Scala.
bigbluebutton,38,_4yx-8FkHEeyewPSmlgszyA,BBB web,F3 coreferent,"ctx:[verbatim] exact:web,bbb",1,1,0,coreference,It implements the BigBlueButton API and holds a copy of the meeting state.
bigbluebutton,39,_yGgUMFkHEeyewPSmlgszyA,HTML5 Server,F2 partial-name,exact:server,1,0,1,partial_name,The BigBlueButton API provides a third-party integration (such as the BigBlueButtonBN plugin for Moodle) with an endpoint to control the BigBlueButton server.
bigbluebutton,46,_6sergFkHEeyewPSmlgszyA,Redis PubSub,F1 exact-name,[verbatim] exact:redis,1,1,1,full_name,Redis PubSub.
bigbluebutton,47,_6sergFkHEeyewPSmlgszyA,Redis PubSub,F1 exact-name,[verbatim] exact:redis,1,1,1,full_name,Redis PubSub provides a communication channel between different applications running on the BigBlueButton server.
