system,side,failure_mode,project,sentence_id,component,sentence
ours,FN,M1 sibling confusion,bigbluebutton,20,HTML5 Server,This means that bbb-html5 could use multiple CPU cores for processing messages and handl
ours,FN,M1 sibling confusion,bigbluebutton,21,HTML5 Server,"As of 2.3-alpha-7, bbb-html5 uses 2 ""frontend"" and two ""backend"" processes (this value i"
ours,FN,M2 code identifier,bigbluebutton,19,HTML5 Server,BigBlueButton 2.3 moves away from a single nodejs process for bbb-html5 towards multiple
ours,FN,M2 code identifier,bigbluebutton,26,Apps,Frontends receive other DDP events including method calls to send events to akka-apps.
ours,FN,M2 code identifier,bigbluebutton,78,BBB web,The PDF document is then converted into scalable vector graphics (SVG) via bbb-web.
ours,FN,M3 ordinary vocabulary,teammates,7,Logic,In the UI Server the entry point for the application back end logic is designed as a RES
ours,FN,M3 ordinary vocabulary,teammates,8,Logic,The main logic of the application is in POJOs (Plain Old Java Objects).
ours,FN,M8 partial-name reach,teammates,168,Test Driver,This component automates the testing of TEAMMATES.
ours,FN,M9 coreference reach,teastore,26,Persistence,"As such, it also acts as a caching layer."
ours,FP,M1 sibling confusion,bigbluebutton,20,HTML5 Client,This means that bbb-html5 could use multiple CPU cores for processing messages and handl
ours,FP,M1 sibling confusion,bigbluebutton,21,HTML5 Client,"As of 2.3-alpha-7, bbb-html5 uses 2 ""frontend"" and two ""backend"" processes (this value i"
ours,FP,M2 code identifier,teammates,125,Storage,Classes in the storage.entity package are not visible outside this component to hide inf
ours,FP,M2 code identifier,teammates,131,Storage,storage.api provides the API of the component to be accessed by the logic component.
ours,FP,M2 code identifier,teammates,169,Test Driver,"Package overview contains test.driver, test.cases and subpackages."
ours,FP,M3 ordinary vocabulary,teammates,22,Logic,"logic, ui.website, ui.controller represent an application of Model-View-Controller patte"
ours,FP,M3 ordinary vocabulary,teammates,196,Client,client.util contains helpers needed for client scripts.
ours,FP,M4 topic drift,mediastore,27,DB,The MediaAccess component encapsulates database access for meta-data of audio files.
ours,FP,M4 topic drift,bigbluebutton,74,WebRTC-SFU,WebRTC provides the user with high-quality audio with lower delay.
ours,FP,M5 wrong antecedent,teammates,24,UI,It is a conceptual package representing the front-end of the application.
ours,FP,M6 unanchored invention,teammates,50,UI,"Sixth, WebApiServlet sends the result back to the browser which will then process it on "
ours,FP,M6 unanchored invention,teammates,182,UI,Front-end files (particularly TypeScript) are tested separately with Jest.
ours,FP,M6 unanchored invention,teammates,197,Logic,client.remoteapi classes needed to connect to the back end directly.
ours,FP,M6 unanchored invention,teammates,198,Logic,client.scripts scripts that deal with the back end data for administrative purposes.
ours,FP,M7 non-architectural mention,mediastore,12,DB,The UserDBAdapter component queries the database.
ours,FP,M7 non-architectural mention,mediastore,29,DB,"By contrast, the UserDBAdapter component provides all functions required in order to enc"
ours,FP,M7 non-architectural mention,teammates,144,GAE Datastore,Implementation of Transaction Control has been minimized due to limitations of GAE envir
