sentence,component_id,component_name,confidence,source
1,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,one_call
1,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,one_call
1,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,one_call
2,_EBiwMEl4Ee243f2e4VWs6w,cli,1.00,one_call
2,_NUdtEEl4Ee243f2e4VWs6w,preferences,1.00,one_call
4,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,one_call
4,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,one_call
4,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,one_call
5,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,one_call
6,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,one_call
6,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,one_call
6,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,one_call
7,_Coy0kEl4Ee243f2e4VWs6w,gui,1.00,one_call
9,_He3LoEl4Ee243f2e4VWs6w,logic,1.00,one_call
9,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,one_call
10,_EBiwMEl4Ee243f2e4VWs6w,cli,1.00,one_call
11,_NUdtEEl4Ee243f2e4VWs6w,preferences,1.00,one_call
12,_MFIzMEl4Ee243f2e4VWs6w,model,1.00,one_call
